Episode,Agent Name,Kill Count,Attack Count,Miss Count,Hit Count,Death Count
0,TestControllerAgent_MissReward(Clone),297,1836,23477,1625,206
0,TestTotalAgent_Origin(Clone),206,1625,34738,1836,297
1,TestControllerAgent_MissReward(Clone),310,1881,22897,1825,239
1,TestTotalAgent_Origin(Clone),239,1825,33286,1881,310
2,TestControllerAgent_MissReward(Clone),309,1831,23007,1677,209
2,TestTotalAgent_Origin(Clone),209,1677,33653,1831,309
3,TestControllerAgent_MissReward(Clone),288,1780,22118,1759,237
3,TestTotalAgent_Origin(Clone),237,1759,33502,1780,288
4,TestControllerAgent_MissReward(Clone),296,1852,21929,1737,210
4,TestTotalAgent_Origin(Clone),210,1737,33773,1852,296
