Episode,Agent Name,Kill Count,Attack Count,Miss Count,Hit Count,Death Count
0,TestControllerAgent_MissReward(Clone),215,1341,32058,1662,159
0,TestTotalAgent_MissReward(Clone),159,1662,42950,1341,215
1,TestControllerAgent_MissReward(Clone),172,1235,33961,1659,162
1,TestTotalAgent_MissReward(Clone),162,1659,43713,1235,172
2,TestControllerAgent_MissReward(Clone),198,1371,33535,1651,165
2,TestTotalAgent_MissReward(Clone),165,1651,42849,1371,198
3,TestControllerAgent_MissReward(Clone),192,1256,32459,1550,143
3,TestTotalAgent_MissReward(Clone),143,1550,43384,1256,192
4,TestControllerAgent_MissReward(Clone),184,1262,31250,1591,167
4,TestTotalAgent_MissReward(Clone),167,1591,42854,1262,184
