열1,열2,열3,열4,열5,열6,열7,열8
1,TestControllerAgent_MissReward(Clone),1,4,7,3,0,4.91194
1,TestTotalAgent_MissReward(Clone),0,3,7,4,1,4.993778
2,TestControllerAgent_MissReward(Clone),1,4,13,0,0,8.643022
2,TestTotalAgent_MissReward(Clone),0,0,16,4,1,13.6368
3,TestControllerAgent_MissReward(Clone),1,4,8,0,0,8.069003
3,TestTotalAgent_MissReward(Clone),0,0,15,4,1,21.7058
4,TestControllerAgent_MissReward(Clone),1,4,6,3,0,5.031196
4,TestTotalAgent_MissReward(Clone),0,3,7,4,1,26.73699
5,TestControllerAgent_MissReward(Clone),1,4,11,1,0,13.48132
5,TestTotalAgent_MissReward(Clone),0,1,25,4,1,40.21831
6,TestControllerAgent_MissReward(Clone),1,4,0,1,0,4.366817
6,TestTotalAgent_MissReward(Clone),0,1,7,4,1,44.58512
7,TestControllerAgent_MissReward(Clone),0,1,57,4,1,32.16777
7,TestTotalAgent_MissReward(Clone),1,4,59,1,0,76.7529
8,TestControllerAgent_MissReward(Clone),1,4,14,1,0,11.61173
8,TestTotalAgent_MissReward(Clone),0,1,21,4,1,88.36461
9,TestControllerAgent_MissReward(Clone),0,3,59,4,1,37.08781
9,TestTotalAgent_MissReward(Clone),1,4,68,3,0,125.4524
10,TestControllerAgent_MissReward(Clone),1,4,16,0,0,9.651994
10,TestTotalAgent_MissReward(Clone),0,0,18,4,1,135.1044
11,TestControllerAgent_MissReward(Clone),0,3,3,4,1,6.23264
11,TestTotalAgent_MissReward(Clone),1,4,8,3,0,141.3371
12,TestControllerAgent_MissReward(Clone),1,4,16,0,0,9.742382
12,TestTotalAgent_MissReward(Clone),0,0,19,4,1,151.0795
13,TestControllerAgent_MissReward(Clone),1,4,6,1,0,16.36954
13,TestTotalAgent_MissReward(Clone),0,1,30,4,1,167.4491
14,TestControllerAgent_MissReward(Clone),0,1,4,4,1,10.92421
14,TestTotalAgent_MissReward(Clone),1,4,17,1,0,178.3733
