열1,열2,열3,열4,열5,열6,열7,열8
1,TestControllerAgent_MissReward(Clone),1,4,21,1,0,12.21919
1,TestTotalAgent_Origin(Clone),0,1,23,4,1,12.42246
2,TestControllerAgent_MissReward(Clone),1,4,17,1,0,10.46389
2,TestTotalAgent_Origin(Clone),0,1,19,4,1,22.88635
3,TestControllerAgent_MissReward(Clone),0,1,12,4,1,7.271141
3,TestTotalAgent_Origin(Clone),1,4,11,1,0,30.15749
4,TestControllerAgent_MissReward(Clone),0,0,17,4,1,12.63831
4,TestTotalAgent_Origin(Clone),1,4,20,0,0,42.79581
5,TestControllerAgent_MissReward(Clone),1,4,11,0,0,7.408298
5,TestTotalAgent_Origin(Clone),0,0,14,4,1,50.20411
6,TestControllerAgent_MissReward(Clone),0,3,15,4,1,9.037943
6,TestTotalAgent_Origin(Clone),1,4,14,3,0,59.24206
7,TestControllerAgent_MissReward(Clone),1,4,22,0,0,13.00568
7,TestTotalAgent_Origin(Clone),0,0,24,4,1,72.24772
8,TestControllerAgent_MissReward(Clone),1,4,22,1,0,12.96651
8,TestTotalAgent_Origin(Clone),0,1,24,4,1,85.21423
9,TestControllerAgent_MissReward(Clone),0,1,14,4,1,8.148836
9,TestTotalAgent_Origin(Clone),1,4,12,1,0,93.36306
10,TestControllerAgent_MissReward(Clone),0,3,40,4,1,21.45518
10,TestTotalAgent_Origin(Clone),1,4,37,3,0,114.8183
11,TestControllerAgent_MissReward(Clone),1,4,30,3,0,16.88147
11,TestTotalAgent_Origin(Clone),0,3,27,4,1,131.6998
12,TestControllerAgent_MissReward(Clone),1,4,13,1,0,8.497268
12,TestTotalAgent_Origin(Clone),0,1,15,4,1,140.1971
13,TestControllerAgent_MissReward(Clone),1,4,30,3,0,20.8586
13,TestTotalAgent_Origin(Clone),0,3,37,4,1,161.0557
14,TestControllerAgent_MissReward(Clone),1,4,13,3,0,8.468863
14,TestTotalAgent_Origin(Clone),0,3,13,4,1,169.5245
15,TestControllerAgent_MissReward(Clone),1,4,13,0,0,8.586223
15,TestTotalAgent_Origin(Clone),0,0,16,4,1,178.1107
16,TestControllerAgent_MissReward(Clone),1,4,44,2,0,23.99593
16,TestTotalAgent_Origin(Clone),0,2,45,4,1,202.1067
17,TestControllerAgent_MissReward(Clone),0,0,22,4,1,12.57201
17,TestTotalAgent_Origin(Clone),1,4,21,0,0,214.6788
18,TestControllerAgent_MissReward(Clone),1,4,13,0,0,8.327927
18,TestTotalAgent_Origin(Clone),0,0,16,4,1,223.0067
19,TestControllerAgent_MissReward(Clone),1,4,15,1,0,9.519631
19,TestTotalAgent_Origin(Clone),0,1,16,4,1,232.5264
20,TestControllerAgent_MissReward(Clone),1,4,25,2,0,14.62629
20,TestTotalAgent_Origin(Clone),0,2,26,4,1,247.1526
21,TestControllerAgent_MissReward(Clone),1,4,16,1,0,10.06465
21,TestTotalAgent_Origin(Clone),0,1,19,4,1,257.2172
22,TestControllerAgent_MissReward(Clone),1,4,18,2,0,10.98226
22,TestTotalAgent_Origin(Clone),0,2,19,4,1,268.1993
23,TestControllerAgent_MissReward(Clone),1,4,11,3,0,7.50959
23,TestTotalAgent_Origin(Clone),0,3,12,4,1,275.7088
24,TestControllerAgent_MissReward(Clone),1,4,29,3,0,16.92958
24,TestTotalAgent_Origin(Clone),0,3,29,4,1,292.6386
25,TestControllerAgent_MissReward(Clone),1,4,20,3,0,12.24642
25,TestTotalAgent_Origin(Clone),0,3,21,4,1,304.885
26,TestControllerAgent_MissReward(Clone),1,4,19,1,0,11.56192
26,TestTotalAgent_Origin(Clone),0,1,20,4,1,316.447
27,TestControllerAgent_MissReward(Clone),1,4,24,3,0,14.02886
27,TestTotalAgent_Origin(Clone),0,3,24,4,1,330.476
28,TestControllerAgent_MissReward(Clone),0,0,8,4,1,8.916065
28,TestTotalAgent_Origin(Clone),1,4,14,0,0,339.3922
29,TestControllerAgent_MissReward(Clone),1,4,32,1,0,17.68863
29,TestTotalAgent_Origin(Clone),0,1,32,4,1,357.081
30,TestControllerAgent_MissReward(Clone),0,0,25,4,1,12.64966
30,TestTotalAgent_Origin(Clone),1,4,21,0,0,369.7307
31,TestControllerAgent_MissReward(Clone),1,4,35,2,0,19.37488
31,TestTotalAgent_Origin(Clone),0,2,35,4,1,389.1056
32,TestControllerAgent_MissReward(Clone),1,4,5,0,0,4.487545
32,TestTotalAgent_Origin(Clone),0,0,8,4,1,393.593
33,TestControllerAgent_MissReward(Clone),0,3,25,4,1,14.8514
33,TestTotalAgent_Origin(Clone),1,4,25,3,0,408.4445
34,TestControllerAgent_MissReward(Clone),1,4,33,2,0,18.24584
34,TestTotalAgent_Origin(Clone),0,2,32,4,1,426.6904
35,TestControllerAgent_MissReward(Clone),1,4,19,2,0,11.50196
35,TestTotalAgent_Origin(Clone),0,2,21,4,1,438.1924
36,TestControllerAgent_MissReward(Clone),1,4,7,2,0,5.279872
36,TestTotalAgent_Origin(Clone),0,2,9,4,1,443.4723
37,TestControllerAgent_MissReward(Clone),0,0,11,4,1,5.797429
37,TestTotalAgent_Origin(Clone),1,4,7,0,0,449.2697
38,TestControllerAgent_MissReward(Clone),1,4,31,3,0,20.67378
38,TestTotalAgent_Origin(Clone),0,3,37,4,1,469.9435
39,TestControllerAgent_MissReward(Clone),0,1,14,4,1,7.698898
39,TestTotalAgent_Origin(Clone),1,4,11,1,0,477.6424
40,TestControllerAgent_MissReward(Clone),1,4,10,0,0,6.980893
