열1,열2,열3,열4,열5,열6,열7,열8
1,TestControllerAgent_Origin(Clone),1,4,7,1,0,5.081917
1,TestTotalAgent_MissReward(Clone),0,1,10,4,1,5.144474
2,TestControllerAgent_Origin(Clone),1,4,6,2,0,5.248431
2,TestTotalAgent_MissReward(Clone),0,2,8,4,1,10.39291
3,TestControllerAgent_Origin(Clone),1,4,19,0,0,11.98754
3,TestTotalAgent_MissReward(Clone),0,0,22,4,1,22.38045
4,TestControllerAgent_Origin(Clone),1,4,10,2,0,7.236286
4,TestTotalAgent_MissReward(Clone),0,2,12,4,1,29.61673
5,TestControllerAgent_Origin(Clone),1,4,16,1,0,10.64125
5,TestTotalAgent_MissReward(Clone),0,1,20,4,1,40.25801
6,TestControllerAgent_Origin(Clone),1,4,4,1,0,4.23724
6,TestTotalAgent_MissReward(Clone),0,1,8,4,1,44.49525
7,TestControllerAgent_Origin(Clone),1,4,5,1,0,4.969072
7,TestTotalAgent_MissReward(Clone),0,1,8,4,1,49.46433
8,TestControllerAgent_Origin(Clone),1,4,3,1,0,3.895194
8,TestTotalAgent_MissReward(Clone),0,1,6,4,1,53.35952
9,TestControllerAgent_Origin(Clone),1,4,6,2,0,5.154321
9,TestTotalAgent_MissReward(Clone),0,2,8,4,1,58.51384
10,TestControllerAgent_Origin(Clone),1,4,5,3,0,4.661274
10,TestTotalAgent_MissReward(Clone),0,3,6,4,1,63.17512
11,TestControllerAgent_Origin(Clone),1,4,12,3,0,8.366367
11,TestTotalAgent_MissReward(Clone),0,3,13,4,1,71.54147
12,TestControllerAgent_Origin(Clone),0,3,17,4,1,10.58327
12,TestTotalAgent_MissReward(Clone),1,4,15,3,0,82.12477
13,TestControllerAgent_Origin(Clone),1,4,7,0,0,5.280807
13,TestTotalAgent_MissReward(Clone),0,0,10,4,1,87.40558
14,TestControllerAgent_Origin(Clone),1,4,21,2,0,13.1802
14,TestTotalAgent_MissReward(Clone),0,2,23,4,1,100.5857
15,TestControllerAgent_Origin(Clone),1,4,16,0,0,10.31466
15,TestTotalAgent_MissReward(Clone),0,0,20,4,1,110.9004
16,TestControllerAgent_Origin(Clone),1,4,21,2,0,13.18073
16,TestTotalAgent_MissReward(Clone),0,2,22,4,1,124.0811
