열1,열2,열3,열4,열5,열6,열7,열8
0,TestControllerAgent_Origin(Clone),1,4,24,1,0,13.83459
0,TestTotalAgent_Origin(Clone),0,1,26,4,1,13.85459
1,TestControllerAgent_Origin(Clone),0,0,10,4,1,5.220698
1,TestTotalAgent_Origin(Clone),1,4,6,0,0,19.07528
2,TestControllerAgent_Origin(Clone),1,4,6,2,0,4.97916
2,TestTotalAgent_Origin(Clone),0,2,7,4,1,24.05445
3,TestControllerAgent_Origin(Clone),0,0,24,4,1,12.35595
3,TestTotalAgent_Origin(Clone),1,4,20,0,0,36.41041
4,TestControllerAgent_Origin(Clone),1,4,27,1,0,15.83928
4,TestTotalAgent_Origin(Clone),0,1,29,4,1,52.24969
5,TestControllerAgent_Origin(Clone),1,4,11,0,0,7.653657
5,TestTotalAgent_Origin(Clone),0,0,15,4,1,59.90335
6,TestControllerAgent_Origin(Clone),1,4,13,2,0,8.625986
6,TestTotalAgent_Origin(Clone),0,2,14,4,1,68.52933
7,TestControllerAgent_Origin(Clone),1,4,13,2,0,8.718416
7,TestTotalAgent_Origin(Clone),0,2,15,4,1,77.24772
8,TestControllerAgent_Origin(Clone),1,4,17,1,0,10.60623
8,TestTotalAgent_Origin(Clone),0,1,20,4,1,87.85399
9,TestControllerAgent_Origin(Clone),1,4,17,0,0,10.578
9,TestTotalAgent_Origin(Clone),0,0,22,4,1,98.43198
10,TestControllerAgent_Origin(Clone),0,0,26,4,1,13.12352
10,TestTotalAgent_Origin(Clone),1,4,22,0,0,111.5555
11,TestControllerAgent_Origin(Clone),1,4,21,3,0,13.41226
11,TestTotalAgent_Origin(Clone),0,3,22,4,1,124.9678
12,TestControllerAgent_Origin(Clone),0,3,17,4,1,11.00982
12,TestTotalAgent_Origin(Clone),1,4,16,3,0,135.9776
13,TestControllerAgent_Origin(Clone),0,1,20,4,1,11.07481
13,TestTotalAgent_Origin(Clone),1,4,17,1,0,147.0524
14,TestControllerAgent_Origin(Clone),1,4,27,1,0,15.50632
14,TestTotalAgent_Origin(Clone),0,1,28,4,1,162.5587
15,TestControllerAgent_Origin(Clone),1,4,14,2,0,9.268305
15,TestTotalAgent_Origin(Clone),0,2,15,4,1,171.827
16,TestControllerAgent_Origin(Clone),1,4,15,2,0,9.644022
16,TestTotalAgent_Origin(Clone),0,2,16,4,1,181.4711
17,TestControllerAgent_Origin(Clone),0,1,32,4,1,16.89931
17,TestTotalAgent_Origin(Clone),1,4,29,1,0,198.3703
18,TestControllerAgent_Origin(Clone),1,4,5,0,0,5.061161
18,TestTotalAgent_Origin(Clone),0,0,10,4,1,203.4315
19,TestControllerAgent_Origin(Clone),1,4,28,1,0,16.59364
19,TestTotalAgent_Origin(Clone),0,1,30,4,1,220.0251
20,TestControllerAgent_Origin(Clone),1,4,7,0,0,6.012775
20,TestTotalAgent_Origin(Clone),0,0,13,4,1,226.0379
21,TestControllerAgent_Origin(Clone),1,4,15,0,0,11.46709
21,TestTotalAgent_Origin(Clone),0,0,21,4,1,237.505
22,TestControllerAgent_Origin(Clone),0,0,21,4,1,10.9718
22,TestTotalAgent_Origin(Clone),1,4,18,0,0,248.4767
23,TestControllerAgent_Origin(Clone),0,3,26,4,1,15.15921
23,TestTotalAgent_Origin(Clone),1,4,25,3,0,263.636
24,TestControllerAgent_Origin(Clone),0,0,18,4,1,9.259217
24,TestTotalAgent_Origin(Clone),1,4,14,0,0,272.8954
25,TestControllerAgent_Origin(Clone),1,4,18,1,0,10.70782
25,TestTotalAgent_Origin(Clone),0,1,19,4,1,283.6032
26,TestControllerAgent_Origin(Clone),1,4,57,3,0,31.86199
26,TestTotalAgent_Origin(Clone),0,3,58,4,1,315.4652
27,TestControllerAgent_Origin(Clone),0,1,19,4,1,10.74074
27,TestTotalAgent_Origin(Clone),1,4,17,1,0,326.2058
28,TestControllerAgent_Origin(Clone),1,4,10,0,0,7.100357
28,TestTotalAgent_Origin(Clone),0,0,13,4,1,333.3063
29,TestControllerAgent_Origin(Clone),0,1,19,4,1,10.7212
29,TestTotalAgent_Origin(Clone),1,4,17,1,0,344.0275
30,TestControllerAgent_Origin(Clone),1,4,35,1,0,19.43958
30,TestTotalAgent_Origin(Clone),0,1,36,4,1,363.4671
31,TestControllerAgent_Origin(Clone),1,4,15,2,0,9.749113
31,TestTotalAgent_Origin(Clone),0,2,17,4,1,373.2162
32,TestControllerAgent_Origin(Clone),1,4,23,1,0,13.57701
32,TestTotalAgent_Origin(Clone),0,1,25,4,1,386.7933
33,TestControllerAgent_Origin(Clone),0,2,20,4,1,13.08082
33,TestTotalAgent_Origin(Clone),1,4,21,2,0,399.8742
34,TestControllerAgent_Origin(Clone),1,4,10,0,0,6.873778
34,TestTotalAgent_Origin(Clone),0,0,13,4,1,406.7479
35,TestControllerAgent_Origin(Clone),1,4,22,2,0,15.47166
35,TestTotalAgent_Origin(Clone),0,2,27,4,1,422.2196
36,TestControllerAgent_Origin(Clone),1,4,31,2,0,17.80153
36,TestTotalAgent_Origin(Clone),0,2,33,4,1,440.0212
37,TestControllerAgent_Origin(Clone),1,4,11,1,0,7.950477
37,TestTotalAgent_Origin(Clone),0,1,14,4,1,447.9715
38,TestControllerAgent_Origin(Clone),0,2,17,4,1,10.02397
38,TestTotalAgent_Origin(Clone),1,4,15,2,0,457.9954
39,TestControllerAgent_Origin(Clone),0,2,32,4,1,17.43691
39,TestTotalAgent_Origin(Clone),1,4,30,2,0,475.4324
40,TestControllerAgent_Origin(Clone),1,4,19,3,0,11.44906
40,TestTotalAgent_Origin(Clone),0,3,19,4,1,486.8815
41,TestControllerAgent_Origin(Clone),0,2,27,4,1,14.93502
41,TestTotalAgent_Origin(Clone),1,4,25,2,0,501.8164
42,TestControllerAgent_Origin(Clone),1,4,10,2,0,6.90661
42,TestTotalAgent_Origin(Clone),0,2,11,4,1,508.723
43,TestControllerAgent_Origin(Clone),1,4,23,1,0,13.62009
43,TestTotalAgent_Origin(Clone),0,1,25,4,1,522.3427
44,TestControllerAgent_Origin(Clone),0,0,20,4,1,10.66323
44,TestTotalAgent_Origin(Clone),1,4,17,0,0,533.0061
45,TestControllerAgent_Origin(Clone),0,1,22,4,1,11.83459
45,TestTotalAgent_Origin(Clone),1,4,19,1,0,544.8406
46,TestControllerAgent_Origin(Clone),0,1,28,4,1,14.52781
46,TestTotalAgent_Origin(Clone),1,4,23,1,0,559.3682
47,TestControllerAgent_Origin(Clone),1,4,24,3,0,13.98756
47,TestTotalAgent_Origin(Clone),0,3,24,4,1,573.3557
48,TestControllerAgent_Origin(Clone),1,4,28,3,0,16.16908
48,TestTotalAgent_Origin(Clone),0,3,27,4,1,589.525
49,TestControllerAgent_Origin(Clone),1,4,8,0,0,6.259625
49,TestTotalAgent_Origin(Clone),0,0,12,4,1,595.7845
50,TestControllerAgent_Origin(Clone),1,4,31,1,0,17.68071
50,TestTotalAgent_Origin(Clone),0,1,33,4,1,613.4655
51,TestControllerAgent_Origin(Clone),1,4,15,3,0,9.764477
51,TestTotalAgent_Origin(Clone),0,3,16,4,1,623.2301
52,TestControllerAgent_Origin(Clone),1,4,22,2,0,13.36017
52,TestTotalAgent_Origin(Clone),0,2,24,4,1,636.5905
53,TestControllerAgent_Origin(Clone),0,0,16,4,1,8.492493
53,TestTotalAgent_Origin(Clone),1,4,13,0,0,645.0828
54,TestControllerAgent_Origin(Clone),0,0,19,4,1,9.155031
54,TestTotalAgent_Origin(Clone),1,4,14,0,0,654.238
55,TestControllerAgent_Origin(Clone),0,2,16,4,1,9.384521
55,TestTotalAgent_Origin(Clone),1,4,14,2,0,663.6226
56,TestControllerAgent_Origin(Clone),0,0,16,4,1,8.685758
56,TestTotalAgent_Origin(Clone),1,4,13,0,0,672.3085
57,TestControllerAgent_Origin(Clone),1,4,3,0,0,3.499304
57,TestTotalAgent_Origin(Clone),0,0,6,4,1,675.8077
58,TestControllerAgent_Origin(Clone),1,4,17,2,0,10.79036
58,TestTotalAgent_Origin(Clone),0,2,18,4,1,686.5981
59,TestControllerAgent_Origin(Clone),0,0,28,4,1,14.66551
59,TestTotalAgent_Origin(Clone),1,4,25,0,0,701.2632
60,TestControllerAgent_Origin(Clone),0,0,33,4,1,16.20401
60,TestTotalAgent_Origin(Clone),1,4,28,0,0,717.4671
61,TestControllerAgent_Origin(Clone),1,4,26,1,0,15.30999
61,TestTotalAgent_Origin(Clone),0,1,28,4,1,732.777
62,TestControllerAgent_Origin(Clone),0,3,4,4,1,3.966203
62,TestTotalAgent_Origin(Clone),1,4,4,3,0,736.7432
63,TestControllerAgent_Origin(Clone),1,4,42,3,0,22.81152
63,TestTotalAgent_Origin(Clone),0,3,41,4,1,759.5547
64,TestControllerAgent_Origin(Clone),1,4,24,2,0,15.12
64,TestTotalAgent_Origin(Clone),0,2,26,4,1,774.6747
65,TestControllerAgent_Origin(Clone),1,4,20,0,0,11.90777
65,TestTotalAgent_Origin(Clone),0,0,23,4,1,786.5825
66,TestControllerAgent_Origin(Clone),0,3,29,4,1,15.25775
66,TestTotalAgent_Origin(Clone),1,4,29,3,0,801.8401
67,TestControllerAgent_Origin(Clone),1,4,38,2,0,20.93907
67,TestTotalAgent_Origin(Clone),0,2,39,4,1,822.7791
68,TestControllerAgent_Origin(Clone),1,4,35,2,0,22.90269
68,TestTotalAgent_Origin(Clone),0,2,41,4,1,845.6816
69,TestControllerAgent_Origin(Clone),1,4,19,2,0,11.66665
69,TestTotalAgent_Origin(Clone),0,2,21,4,1,857.3482
70,TestControllerAgent_Origin(Clone),1,4,16,2,0,12.14254
70,TestTotalAgent_Origin(Clone),0,2,18,4,1,869.4907
71,TestControllerAgent_Origin(Clone),0,1,37,4,1,18.4096
71,TestTotalAgent_Origin(Clone),1,4,34,1,0,887.9001
72,TestControllerAgent_Origin(Clone),0,3,10,4,1,6.834122
72,TestTotalAgent_Origin(Clone),1,4,9,3,0,894.7343
73,TestControllerAgent_Origin(Clone),1,4,20,1,0,11.6015
73,TestTotalAgent_Origin(Clone),0,1,21,4,1,906.3357
74,TestControllerAgent_Origin(Clone),1,4,22,0,0,15.9871
74,TestTotalAgent_Origin(Clone),0,0,30,4,1,922.3227
75,TestControllerAgent_Origin(Clone),0,1,7,4,1,4.666662
75,TestTotalAgent_Origin(Clone),1,4,5,1,0,926.9893
76,TestControllerAgent_Origin(Clone),1,4,9,3,0,7.334886
76,TestTotalAgent_Origin(Clone),0,3,9,4,1,934.3243
77,TestControllerAgent_Origin(Clone),1,4,4,2,0,4.387387
77,TestTotalAgent_Origin(Clone),0,2,6,4,1,938.7117
78,TestControllerAgent_Origin(Clone),0,1,21,4,1,11.86267
78,TestTotalAgent_Origin(Clone),1,4,19,1,0,950.5745
79,TestControllerAgent_Origin(Clone),1,4,36,2,0,19.69336
79,TestTotalAgent_Origin(Clone),0,2,36,4,1,970.2681
