열1,열2,열3,열4,열5,열6,열7,열8
0,TestControllerAgent_MissReward(Clone),1,4,67,0,0,35.12867
0,TestTotalAgent_MissReward(Clone),0,0,68,4,1,35.14867
1,TestControllerAgent_MissReward(Clone),0,3,92,0,0,60.02152
1,TestTotalAgent_MissReward(Clone),0,0,116,3,0,95.17017
2,TestControllerAgent_MissReward(Clone),1,4,38,0,0,22.22717
2,TestTotalAgent_MissReward(Clone),0,0,43,4,1,117.3973
3,TestControllerAgent_MissReward(Clone),1,4,54,3,0,31.09743
3,TestTotalAgent_MissReward(Clone),0,3,57,4,1,148.4947
4,TestControllerAgent_MissReward(Clone),1,4,6,0,0,4.979428
4,TestTotalAgent_MissReward(Clone),0,0,10,4,1,153.4742
5,TestControllerAgent_MissReward(Clone),1,4,8,0,0,6.034537
5,TestTotalAgent_MissReward(Clone),0,0,11,4,1,159.5086
6,TestControllerAgent_MissReward(Clone),1,4,15,0,0,10.65162
6,TestTotalAgent_MissReward(Clone),0,0,20,4,1,170.1603
7,TestControllerAgent_MissReward(Clone),1,4,28,0,0,16.02293
7,TestTotalAgent_MissReward(Clone),0,0,31,4,1,186.1832
8,TestControllerAgent_MissReward(Clone),1,4,10,0,0,7.259455
8,TestTotalAgent_MissReward(Clone),0,0,14,4,1,193.4426
9,TestControllerAgent_MissReward(Clone),1,4,34,3,0,19.07921
9,TestTotalAgent_MissReward(Clone),0,3,34,4,1,212.5219
10,TestControllerAgent_MissReward(Clone),1,4,13,0,0,8.476871
10,TestTotalAgent_MissReward(Clone),0,0,16,4,1,220.9987
11,TestControllerAgent_MissReward(Clone),1,4,19,0,0,19.23217
11,TestTotalAgent_MissReward(Clone),0,0,36,4,1,240.2309
12,TestControllerAgent_MissReward(Clone),1,4,21,0,0,12.61517
12,TestTotalAgent_MissReward(Clone),0,0,25,4,1,252.8461
13,TestControllerAgent_MissReward(Clone),1,4,6,1,0,5.016352
13,TestTotalAgent_MissReward(Clone),0,1,8,4,1,257.8623
14,TestControllerAgent_MissReward(Clone),1,4,8,0,0,5.976208
14,TestTotalAgent_MissReward(Clone),0,0,12,4,1,263.8385
15,TestControllerAgent_MissReward(Clone),0,2,13,4,1,7.760215
15,TestTotalAgent_MissReward(Clone),1,4,11,2,0,271.5987
16,TestControllerAgent_MissReward(Clone),1,4,15,1,0,9.278893
16,TestTotalAgent_MissReward(Clone),0,1,16,4,1,280.8776
17,TestControllerAgent_MissReward(Clone),1,4,55,1,0,35.26225
