열1,열2,열3,열4,열5,열6,열7,열8
1,TestControllerAgent_MissReward(Clone),1,4,12,1,0,6.815954
1,TestTotalAgent_Origin(Clone),0,1,14,4,1,9.149284
2,TestControllerAgent_MissReward(Clone),1,4,19,2,0,11.29042
2,TestTotalAgent_Origin(Clone),0,2,20,4,1,20.4397
3,TestControllerAgent_MissReward(Clone),0,0,21,4,1,13.01445
3,TestTotalAgent_Origin(Clone),1,4,21,0,0,33.45415
4,TestControllerAgent_MissReward(Clone),0,0,15,4,1,7.891309
4,TestTotalAgent_Origin(Clone),1,4,12,0,0,41.34546
5,TestControllerAgent_MissReward(Clone),1,4,13,1,0,8.816502
5,TestTotalAgent_Origin(Clone),0,1,15,4,1,50.16196
6,TestControllerAgent_MissReward(Clone),1,4,8,2,0,6.360647
6,TestTotalAgent_Origin(Clone),0,2,9,4,1,56.52261
7,TestControllerAgent_MissReward(Clone),1,4,16,0,0,8.967201
7,TestTotalAgent_Origin(Clone),0,0,20,4,1,65.48981
8,TestControllerAgent_MissReward(Clone),1,4,31,2,0,18.15328
8,TestTotalAgent_Origin(Clone),0,2,31,4,1,83.6431
9,TestControllerAgent_MissReward(Clone),0,1,15,4,1,10.55963
9,TestTotalAgent_Origin(Clone),1,4,13,1,0,94.20271
10,TestControllerAgent_MissReward(Clone),1,4,15,2,0,8.605617
10,TestTotalAgent_Origin(Clone),0,2,15,4,1,102.8083
11,TestControllerAgent_MissReward(Clone),0,1,15,4,1,8.709076
11,TestTotalAgent_Origin(Clone),1,4,13,1,0,111.5174
12,TestControllerAgent_MissReward(Clone),1,4,18,2,0,10.52619
12,TestTotalAgent_Origin(Clone),0,2,18,4,1,122.0436
13,TestControllerAgent_MissReward(Clone),0,1,21,4,1,19.00727
13,TestTotalAgent_Origin(Clone),1,4,32,1,0,141.0509
14,TestControllerAgent_MissReward(Clone),1,4,18,1,0,10.4361
14,TestTotalAgent_Origin(Clone),0,1,20,4,1,151.487
15,TestControllerAgent_MissReward(Clone),0,3,20,4,1,12.14899
15,TestTotalAgent_Origin(Clone),1,4,19,3,0,163.6359
16,TestControllerAgent_MissReward(Clone),0,3,14,4,1,7.862053
16,TestTotalAgent_Origin(Clone),1,4,12,3,0,171.498
17,TestControllerAgent_MissReward(Clone),0,0,21,4,1,17.80268
17,TestTotalAgent_Origin(Clone),1,4,30,0,0,189.3007
18,TestControllerAgent_MissReward(Clone),1,4,15,1,0,9.694334
18,TestTotalAgent_Origin(Clone),0,1,17,4,1,198.995
19,TestControllerAgent_MissReward(Clone),1,4,12,1,0,6.452804
19,TestTotalAgent_Origin(Clone),0,1,14,4,1,205.4478
20,TestControllerAgent_MissReward(Clone),0,0,15,4,1,9.157045
20,TestTotalAgent_Origin(Clone),1,4,12,0,0,214.6048
21,TestControllerAgent_MissReward(Clone),1,4,13,0,0,8.957406
21,TestTotalAgent_Origin(Clone),0,0,15,4,1,223.5622
22,TestControllerAgent_MissReward(Clone),1,4,12,0,0,6.878437
22,TestTotalAgent_Origin(Clone),0,0,16,4,1,230.4407
23,TestControllerAgent_MissReward(Clone),1,4,16,0,0,9.878435
23,TestTotalAgent_Origin(Clone),0,0,19,4,1,240.3191
24,TestControllerAgent_MissReward(Clone),1,4,17,0,0,10.67292
24,TestTotalAgent_Origin(Clone),0,0,21,4,1,250.992
25,TestControllerAgent_MissReward(Clone),1,4,46,2,0,26.76972
25,TestTotalAgent_Origin(Clone),0,2,46,4,1,277.7618
26,TestControllerAgent_MissReward(Clone),1,4,11,0,0,7.648578
26,TestTotalAgent_Origin(Clone),0,0,14,4,1,285.4103
27,TestControllerAgent_MissReward(Clone),1,4,9,1,0,6.459329
27,TestTotalAgent_Origin(Clone),0,1,12,4,1,291.8696
28,TestControllerAgent_MissReward(Clone),0,1,31,4,1,20.13389
28,TestTotalAgent_Origin(Clone),1,4,35,1,0,312.0035
29,TestControllerAgent_MissReward(Clone),0,1,36,4,1,18.93222
29,TestTotalAgent_Origin(Clone),1,4,33,1,0,330.9358
30,TestControllerAgent_MissReward(Clone),1,4,17,3,0,9.905688
30,TestTotalAgent_Origin(Clone),0,3,16,4,1,340.8415
31,TestControllerAgent_MissReward(Clone),1,4,18,1,0,10.67717
31,TestTotalAgent_Origin(Clone),0,1,20,4,1,351.5187
32,TestControllerAgent_MissReward(Clone),1,4,45,0,0,25.53553
32,TestTotalAgent_Origin(Clone),0,0,48,4,1,377.0542
33,TestControllerAgent_MissReward(Clone),0,0,21,4,1,11.05059
33,TestTotalAgent_Origin(Clone),1,4,18,0,0,388.1048
