열1,열2,열3,열4,열5,열6,열7,열8
1,TestControllerAgent_Origin(Clone),1,4,14,2,0,8.61904
1,TestTotalAgent_MissReward(Clone),0,2,17,4,1,8.737636
2,TestControllerAgent_Origin(Clone),1,4,45,0,0,27.07543
2,TestTotalAgent_MissReward(Clone),0,0,49,4,1,35.81308
3,TestControllerAgent_Origin(Clone),1,4,94,3,0,50.02752
3,TestTotalAgent_MissReward(Clone),0,3,93,4,1,85.84055
4,TestControllerAgent_Origin(Clone),1,4,7,1,0,5.698967
4,TestTotalAgent_MissReward(Clone),0,1,10,4,1,91.53954
5,TestControllerAgent_Origin(Clone),1,4,59,1,0,33.98026
5,TestTotalAgent_MissReward(Clone),0,1,64,4,1,125.5197
6,TestControllerAgent_Origin(Clone),1,4,24,3,0,14.83378
6,TestTotalAgent_MissReward(Clone),0,3,25,4,1,140.3535
7,TestControllerAgent_Origin(Clone),1,4,32,0,0,19.0923
7,TestTotalAgent_MissReward(Clone),0,0,36,4,1,159.4458
8,TestControllerAgent_Origin(Clone),1,4,14,0,0,9.099251
8,TestTotalAgent_MissReward(Clone),0,0,18,4,1,168.5451
9,TestControllerAgent_Origin(Clone),1,4,3,1,0,3.868838
9,TestTotalAgent_MissReward(Clone),0,1,6,4,1,172.414
10,TestControllerAgent_Origin(Clone),1,4,28,0,0,16.97914
10,TestTotalAgent_MissReward(Clone),0,0,30,4,1,189.3931
11,TestControllerAgent_Origin(Clone),1,4,31,1,0,18.18371
11,TestTotalAgent_MissReward(Clone),0,1,33,4,1,207.5767
12,TestControllerAgent_Origin(Clone),1,4,11,0,0,7.724997
12,TestTotalAgent_MissReward(Clone),0,0,16,4,1,215.3017
13,TestControllerAgent_Origin(Clone),1,4,27,0,0,16.51517
13,TestTotalAgent_MissReward(Clone),0,0,30,4,1,231.8169
14,TestControllerAgent_Origin(Clone),0,2,41,4,1,23.39687
14,TestTotalAgent_MissReward(Clone),1,4,42,2,0,255.2138
15,TestControllerAgent_Origin(Clone),1,4,19,0,0,12.078
15,TestTotalAgent_MissReward(Clone),0,0,23,4,1,267.2918
16,TestControllerAgent_Origin(Clone),1,4,13,1,0,9.217978
16,TestTotalAgent_MissReward(Clone),0,1,16,4,1,276.5099
17,TestControllerAgent_Origin(Clone),1,4,65,1,0,35.9276
17,TestTotalAgent_MissReward(Clone),0,1,68,4,1,312.4372
18,TestControllerAgent_Origin(Clone),1,4,19,2,0,12.04496
18,TestTotalAgent_MissReward(Clone),0,2,21,4,1,324.4821
19,TestControllerAgent_Origin(Clone),1,4,10,1,0,7.252617
19,TestTotalAgent_MissReward(Clone),0,1,14,4,1,331.7348
20,TestControllerAgent_Origin(Clone),1,4,95,0,0,52.19147
20,TestTotalAgent_MissReward(Clone),0,0,99,4,1,383.9261
21,TestControllerAgent_Origin(Clone),0,2,115,3,0,60.05596
21,TestTotalAgent_MissReward(Clone),0,3,113,2,0,443.9026
22,TestControllerAgent_Origin(Clone),1,4,48,2,0,27.12892
22,TestTotalAgent_MissReward(Clone),0,2,49,4,1,471.1112
23,TestControllerAgent_Origin(Clone),1,4,19,0,0,12.47323
23,TestTotalAgent_MissReward(Clone),0,0,23,4,1,483.5844
24,TestControllerAgent_Origin(Clone),1,4,13,0,0,8.882471
24,TestTotalAgent_MissReward(Clone),0,0,19,4,1,492.4669
25,TestControllerAgent_Origin(Clone),1,4,29,0,0,17.47506
25,TestTotalAgent_MissReward(Clone),0,0,32,4,1,509.942
26,TestControllerAgent_Origin(Clone),0,2,114,0,0,60.00938
26,TestTotalAgent_MissReward(Clone),0,0,116,2,0,569.8594
27,TestControllerAgent_Origin(Clone),1,4,30,1,0,17.2708
27,TestTotalAgent_MissReward(Clone),0,1,33,4,1,587.2228
28,TestControllerAgent_Origin(Clone),0,3,25,4,1,15.66417
28,TestTotalAgent_MissReward(Clone),1,4,26,3,0,602.887
29,TestControllerAgent_Origin(Clone),1,4,17,1,0,11.18808
29,TestTotalAgent_MissReward(Clone),0,1,20,4,1,614.0752
30,TestControllerAgent_Origin(Clone),1,4,18,1,0,11.53044
30,TestTotalAgent_MissReward(Clone),0,1,22,4,1,625.6056
31,TestControllerAgent_Origin(Clone),1,4,28,1,0,17.67442
31,TestTotalAgent_MissReward(Clone),0,1,32,4,1,643.2802
32,TestControllerAgent_Origin(Clone),1,4,48,1,0,27.53413
32,TestTotalAgent_MissReward(Clone),0,1,52,4,1,670.8144
33,TestControllerAgent_Origin(Clone),1,4,17,0,0,11.03714
33,TestTotalAgent_MissReward(Clone),0,0,22,4,1,681.8514
34,TestControllerAgent_Origin(Clone),1,4,36,1,0,21.30147
34,TestTotalAgent_MissReward(Clone),0,1,40,4,1,703.1527
35,TestControllerAgent_Origin(Clone),1,4,40,1,0,24.10432
35,TestTotalAgent_MissReward(Clone),0,1,43,4,1,727.257
36,TestControllerAgent_Origin(Clone),1,4,56,2,0,31.97743
36,TestTotalAgent_MissReward(Clone),0,2,58,4,1,759.2343
37,TestControllerAgent_Origin(Clone),1,4,32,1,0,18.51924
37,TestTotalAgent_MissReward(Clone),0,1,34,4,1,777.7535
38,TestControllerAgent_Origin(Clone),1,4,12,0,0,8.560317
38,TestTotalAgent_MissReward(Clone),0,0,17,4,1,786.3137
39,TestControllerAgent_Origin(Clone),0,2,114,1,0,60.02145
39,TestTotalAgent_MissReward(Clone),0,1,114,2,0,846.2439
40,TestControllerAgent_Origin(Clone),1,4,20,1,0,12.47853
40,TestTotalAgent_MissReward(Clone),0,1,23,4,1,858.8138
41,TestControllerAgent_Origin(Clone),1,4,27,2,0,16.59625
41,TestTotalAgent_MissReward(Clone),0,2,30,4,1,875.41
42,TestControllerAgent_Origin(Clone),1,4,11,0,0,7.773827
