열1,열2,열3,열4,열5,열6,열7,열8
0,TestControllerAgent_Origin(Clone),0,0,21,4,1,10.65166
0,TestTotalAgent_Origin(Clone),1,4,17,0,0,10.67166
1,TestControllerAgent_Origin(Clone),1,4,26,3,0,14.89486
1,TestTotalAgent_Origin(Clone),0,3,24,4,1,25.56652
2,TestControllerAgent_Origin(Clone),1,4,8,0,0,6.076965
2,TestTotalAgent_Origin(Clone),0,0,12,4,1,31.64348
3,TestControllerAgent_Origin(Clone),0,0,29,4,1,14.34104
3,TestTotalAgent_Origin(Clone),1,4,26,0,0,45.98452
4,TestControllerAgent_Origin(Clone),1,4,17,0,0,9.075363
4,TestTotalAgent_Origin(Clone),0,0,20,4,1,55.05988
5,TestControllerAgent_Origin(Clone),1,4,17,1,0,11.66665
5,TestTotalAgent_Origin(Clone),0,1,19,4,1,66.72653
6,TestControllerAgent_Origin(Clone),1,4,29,2,0,18.25081
6,TestTotalAgent_Origin(Clone),0,2,34,4,1,84.97733
7,TestControllerAgent_Origin(Clone),0,1,9,4,1,6.642709
7,TestTotalAgent_Origin(Clone),1,4,7,1,0,91.62003
8,TestControllerAgent_Origin(Clone),1,4,22,2,0,11.66665
8,TestTotalAgent_Origin(Clone),0,2,23,4,1,103.2867
9,TestControllerAgent_Origin(Clone),1,4,10,0,0,9.333323
9,TestTotalAgent_Origin(Clone),0,0,17,4,1,112.62
10,TestControllerAgent_Origin(Clone),1,4,38,2,0,20.87278
10,TestTotalAgent_Origin(Clone),0,2,39,4,1,133.4927
11,TestControllerAgent_Origin(Clone),0,3,38,4,1,23.65993
11,TestTotalAgent_Origin(Clone),1,4,37,3,0,157.1527
12,TestControllerAgent_Origin(Clone),0,1,26,4,1,13.67827
12,TestTotalAgent_Origin(Clone),1,4,22,1,0,170.831
13,TestControllerAgent_Origin(Clone),0,3,15,4,1,9.510994
13,TestTotalAgent_Origin(Clone),1,4,14,3,0,180.342
14,TestControllerAgent_Origin(Clone),1,4,16,0,0,9.617419
14,TestTotalAgent_Origin(Clone),0,0,18,4,1,189.9594
15,TestControllerAgent_Origin(Clone),1,4,9,0,0,6.854278
15,TestTotalAgent_Origin(Clone),0,0,14,4,1,196.8137
16,TestControllerAgent_Origin(Clone),1,4,8,0,0,6.365763
16,TestTotalAgent_Origin(Clone),0,0,12,4,1,203.1794
17,TestControllerAgent_Origin(Clone),0,0,12,4,1,5.519556
17,TestTotalAgent_Origin(Clone),1,4,8,0,0,208.699
18,TestControllerAgent_Origin(Clone),1,4,9,1,0,7.441049
18,TestTotalAgent_Origin(Clone),0,1,13,4,1,216.14
19,TestControllerAgent_Origin(Clone),0,1,22,4,1,11.95958
19,TestTotalAgent_Origin(Clone),1,4,19,1,0,228.0996
20,TestControllerAgent_Origin(Clone),1,4,10,0,0,9.667578
20,TestTotalAgent_Origin(Clone),0,0,15,4,1,237.7672
21,TestControllerAgent_Origin(Clone),1,4,43,0,0,29.68312
21,TestTotalAgent_Origin(Clone),0,0,56,4,1,267.4504
22,TestControllerAgent_Origin(Clone),1,4,5,1,0,4.540711
22,TestTotalAgent_Origin(Clone),0,1,9,4,1,271.9911
23,TestControllerAgent_Origin(Clone),1,4,26,1,0,15.33787
23,TestTotalAgent_Origin(Clone),0,1,28,4,1,287.329
24,TestControllerAgent_Origin(Clone),1,4,8,1,0,6.199837
24,TestTotalAgent_Origin(Clone),0,1,11,4,1,293.5288
25,TestControllerAgent_Origin(Clone),1,4,27,1,0,15.71641
25,TestTotalAgent_Origin(Clone),0,1,29,4,1,309.2452
26,TestControllerAgent_Origin(Clone),0,0,39,4,1,21.06929
26,TestTotalAgent_Origin(Clone),1,4,36,0,0,330.3145
27,TestControllerAgent_Origin(Clone),1,4,16,1,0,9.608637
27,TestTotalAgent_Origin(Clone),0,1,17,4,1,339.9231
28,TestControllerAgent_Origin(Clone),1,4,15,3,0,9.989
28,TestTotalAgent_Origin(Clone),0,3,16,4,1,349.9121
29,TestControllerAgent_Origin(Clone),0,0,34,4,1,17.40869
29,TestTotalAgent_Origin(Clone),1,4,31,0,0,367.3207
30,TestControllerAgent_Origin(Clone),1,4,19,1,0,11.87473
30,TestTotalAgent_Origin(Clone),0,1,21,4,1,379.1954
31,TestControllerAgent_Origin(Clone),0,0,25,4,1,12.88796
31,TestTotalAgent_Origin(Clone),1,4,22,0,0,392.0834
32,TestControllerAgent_Origin(Clone),0,0,28,4,1,13.2028
32,TestTotalAgent_Origin(Clone),1,4,23,0,0,405.2862
33,TestControllerAgent_Origin(Clone),0,1,49,4,1,27.7629
33,TestTotalAgent_Origin(Clone),1,4,46,1,0,433.0491
34,TestControllerAgent_Origin(Clone),1,4,6,0,0,4.834765
34,TestTotalAgent_Origin(Clone),0,0,9,4,1,437.8839
35,TestControllerAgent_Origin(Clone),1,4,16,0,0,10.76388
35,TestTotalAgent_Origin(Clone),0,0,20,4,1,448.6478
36,TestControllerAgent_Origin(Clone),0,3,17,4,1,9.971952
36,TestTotalAgent_Origin(Clone),1,4,17,3,0,458.6198
37,TestControllerAgent_Origin(Clone),0,0,17,4,1,9.222163
37,TestTotalAgent_Origin(Clone),1,4,13,0,0,467.842
38,TestControllerAgent_Origin(Clone),1,4,35,0,0,19.35439
38,TestTotalAgent_Origin(Clone),0,0,37,4,1,487.1964
39,TestControllerAgent_Origin(Clone),0,0,23,4,1,11.24123
39,TestTotalAgent_Origin(Clone),1,4,19,0,0,498.4377
40,TestControllerAgent_Origin(Clone),1,4,15,1,0,9.887345
40,TestTotalAgent_Origin(Clone),0,1,17,4,1,508.325
41,TestControllerAgent_Origin(Clone),0,1,48,4,1,25.93251
41,TestTotalAgent_Origin(Clone),1,4,44,1,0,534.2576
42,TestControllerAgent_Origin(Clone),1,4,18,1,0,11.02827
42,TestTotalAgent_Origin(Clone),0,1,20,4,1,545.2858
