열1,열2,열3,열4,열5,열6,열7
1,TestControllerAgent_MissReward(Clone),0,0,8,4,1
1,TestTotalAgent_MissReward(Clone),1,4,4,0,0
2,TestControllerAgent_MissReward(Clone),1,4,45,1,0
2,TestTotalAgent_MissReward(Clone),0,1,62,4,1
3,TestControllerAgent_MissReward(Clone),1,4,6,0,0
3,TestTotalAgent_MissReward(Clone),0,0,9,4,1
4,TestControllerAgent_MissReward(Clone),0,0,6,4,1
4,TestTotalAgent_MissReward(Clone),1,4,7,0,0
5,TestControllerAgent_MissReward(Clone),0,0,35,4,1
5,TestTotalAgent_MissReward(Clone),1,4,47,0,0
6,TestControllerAgent_MissReward(Clone),1,4,4,2,0
6,TestTotalAgent_MissReward(Clone),0,2,5,4,1
7,TestControllerAgent_MissReward(Clone),1,4,52,0,0
7,TestTotalAgent_MissReward(Clone),0,0,56,4,1
8,TestControllerAgent_MissReward(Clone),1,4,7,1,0
8,TestTotalAgent_MissReward(Clone),0,1,10,4,1
9,TestControllerAgent_MissReward(Clone),0,1,15,4,1
9,TestTotalAgent_MissReward(Clone),1,4,12,1,0
10,TestControllerAgent_MissReward(Clone),1,4,13,2,0
10,TestTotalAgent_MissReward(Clone),0,2,14,4,1
11,TestControllerAgent_MissReward(Clone),1,4,8,1,0
11,TestTotalAgent_MissReward(Clone),0,1,10,4,1
12,TestControllerAgent_MissReward(Clone),0,0,21,4,1
12,TestTotalAgent_MissReward(Clone),1,4,28,0,0
13,TestControllerAgent_MissReward(Clone),0,3,9,4,1
13,TestTotalAgent_MissReward(Clone),1,4,20,3,0
14,TestControllerAgent_MissReward(Clone),0,0,5,4,1
14,TestTotalAgent_MissReward(Clone),1,4,10,0,0
15,TestControllerAgent_MissReward(Clone),1,4,10,2,0
15,TestTotalAgent_MissReward(Clone),0,2,10,4,1
16,TestControllerAgent_MissReward(Clone),1,4,41,1,0
16,TestTotalAgent_MissReward(Clone),0,1,53,4,1
17,TestControllerAgent_MissReward(Clone),1,4,7,3,0
17,TestTotalAgent_MissReward(Clone),0,3,9,4,1
18,TestControllerAgent_MissReward(Clone),0,3,11,4,1
18,TestTotalAgent_MissReward(Clone),1,4,29,3,0
19,TestControllerAgent_MissReward(Clone),1,4,27,0,0
19,TestTotalAgent_MissReward(Clone),0,0,39,4,1
20,TestControllerAgent_MissReward(Clone),1,4,19,2,0
20,TestTotalAgent_MissReward(Clone),0,2,20,4,1
21,TestControllerAgent_MissReward(Clone),0,3,4,4,1
21,TestTotalAgent_MissReward(Clone),1,4,4,3,0
22,TestControllerAgent_MissReward(Clone),1,4,4,1,0
22,TestTotalAgent_MissReward(Clone),0,1,6,4,1
23,TestControllerAgent_MissReward(Clone),1,4,40,1,0
23,TestTotalAgent_MissReward(Clone),0,1,46,4,1
24,TestControllerAgent_MissReward(Clone),1,4,9,1,0
24,TestTotalAgent_MissReward(Clone),0,1,13,4,1
25,TestControllerAgent_MissReward(Clone),0,1,37,4,1
25,TestTotalAgent_MissReward(Clone),1,4,35,1,0
26,TestControllerAgent_MissReward(Clone),0,3,16,4,1
26,TestTotalAgent_MissReward(Clone),1,4,16,3,0
27,TestControllerAgent_MissReward(Clone),1,4,17,0,0
27,TestTotalAgent_MissReward(Clone),0,0,19,4,1
28,TestControllerAgent_MissReward(Clone),0,2,15,4,1
28,TestTotalAgent_MissReward(Clone),1,4,34,2,0
29,TestControllerAgent_MissReward(Clone),0,1,4,4,1
29,TestTotalAgent_MissReward(Clone),1,4,12,1,0
30,TestControllerAgent_MissReward(Clone),0,3,39,4,1
30,TestTotalAgent_MissReward(Clone),1,4,44,3,0
31,TestControllerAgent_MissReward(Clone),1,4,18,1,0
31,TestTotalAgent_MissReward(Clone),0,1,21,4,1
32,TestControllerAgent_MissReward(Clone),1,4,10,3,0
32,TestTotalAgent_MissReward(Clone),0,3,10,4,1
33,TestControllerAgent_MissReward(Clone),1,4,11,1,0
33,TestTotalAgent_MissReward(Clone),0,1,14,4,1
34,TestControllerAgent_MissReward(Clone),1,4,12,1,0
34,TestTotalAgent_MissReward(Clone),0,1,15,4,1
35,TestControllerAgent_MissReward(Clone),1,4,9,1,0
35,TestTotalAgent_MissReward(Clone),0,1,12,4,1
36,TestControllerAgent_MissReward(Clone),1,4,8,1,0
36,TestTotalAgent_MissReward(Clone),0,1,10,4,1
37,TestControllerAgent_MissReward(Clone),0,1,8,4,1
37,TestTotalAgent_MissReward(Clone),1,4,29,1,0
38,TestControllerAgent_MissReward(Clone),0,2,7,4,1
38,TestTotalAgent_MissReward(Clone),1,4,6,2,0
39,TestControllerAgent_MissReward(Clone),1,4,12,1,0
39,TestTotalAgent_MissReward(Clone),0,1,14,4,1
40,TestControllerAgent_MissReward(Clone),1,4,18,0,0
40,TestTotalAgent_MissReward(Clone),0,0,22,4,1
41,TestControllerAgent_MissReward(Clone),1,4,9,1,0
41,TestTotalAgent_MissReward(Clone),0,1,15,4,1
42,TestControllerAgent_MissReward(Clone),1,4,23,1,0
42,TestTotalAgent_MissReward(Clone),0,1,25,4,1
43,TestControllerAgent_MissReward(Clone),0,0,4,4,1
43,TestTotalAgent_MissReward(Clone),1,4,13,0,0
44,TestControllerAgent_MissReward(Clone),0,1,10,4,1
44,TestTotalAgent_MissReward(Clone),1,4,23,1,0
45,TestControllerAgent_MissReward(Clone),0,2,24,4,1
45,TestTotalAgent_MissReward(Clone),1,4,21,2,0
46,TestControllerAgent_MissReward(Clone),1,4,8,2,0
46,TestTotalAgent_MissReward(Clone),0,2,22,4,1
47,TestControllerAgent_MissReward(Clone),0,3,5,4,1
47,TestTotalAgent_MissReward(Clone),1,4,19,3,0
48,TestControllerAgent_MissReward(Clone),0,2,64,4,1
48,TestTotalAgent_MissReward(Clone),1,4,80,2,0
49,TestControllerAgent_MissReward(Clone),1,4,6,0,0
49,TestTotalAgent_MissReward(Clone),0,0,21,4,1
50,TestControllerAgent_MissReward(Clone),1,4,64,1,0
50,TestTotalAgent_MissReward(Clone),0,1,82,4,1
51,TestControllerAgent_MissReward(Clone),1,4,10,1,0
51,TestTotalAgent_MissReward(Clone),0,1,13,4,1
52,TestControllerAgent_MissReward(Clone),1,4,13,0,0
52,TestTotalAgent_MissReward(Clone),0,0,16,4,1
53,TestControllerAgent_MissReward(Clone),0,2,6,4,1
53,TestTotalAgent_MissReward(Clone),1,4,5,2,0
54,TestControllerAgent_MissReward(Clone),1,4,14,0,0
54,TestTotalAgent_MissReward(Clone),0,0,16,4,1
55,TestControllerAgent_MissReward(Clone),1,4,3,2,0
55,TestTotalAgent_MissReward(Clone),0,2,7,4,1
56,TestControllerAgent_MissReward(Clone),0,3,27,4,1
56,TestTotalAgent_MissReward(Clone),1,4,35,3,0
57,TestControllerAgent_MissReward(Clone),0,3,10,4,1
57,TestTotalAgent_MissReward(Clone),1,4,16,3,0
58,TestControllerAgent_MissReward(Clone),0,3,14,4,1
58,TestTotalAgent_MissReward(Clone),1,4,12,3,0
59,TestControllerAgent_MissReward(Clone),1,4,13,0,0
59,TestTotalAgent_MissReward(Clone),0,0,15,4,1
60,TestControllerAgent_MissReward(Clone),0,3,2,4,1
60,TestTotalAgent_MissReward(Clone),1,4,8,3,0
61,TestControllerAgent_MissReward(Clone),1,4,12,2,0
61,TestTotalAgent_MissReward(Clone),0,2,12,4,1
62,TestControllerAgent_MissReward(Clone),1,4,17,0,0
62,TestTotalAgent_MissReward(Clone),0,0,21,4,1
63,TestControllerAgent_MissReward(Clone),0,3,6,4,1
63,TestTotalAgent_MissReward(Clone),1,4,6,3,0
64,TestControllerAgent_MissReward(Clone),0,0,10,4,1
64,TestTotalAgent_MissReward(Clone),1,4,6,0,0
65,TestControllerAgent_MissReward(Clone),1,4,6,2,0
65,TestTotalAgent_MissReward(Clone),0,2,7,4,1
66,TestControllerAgent_MissReward(Clone),1,4,4,1,0
66,TestTotalAgent_MissReward(Clone),0,1,7,4,1
67,TestControllerAgent_MissReward(Clone),1,4,18,1,0
67,TestTotalAgent_MissReward(Clone),0,1,26,4,1
68,TestControllerAgent_MissReward(Clone),1,4,5,0,0
68,TestTotalAgent_MissReward(Clone),0,0,9,4,1
69,TestControllerAgent_MissReward(Clone),0,1,15,4,1
69,TestTotalAgent_MissReward(Clone),1,4,12,1,0
70,TestControllerAgent_MissReward(Clone),1,4,7,1,0
70,TestTotalAgent_MissReward(Clone),0,1,10,4,1
71,TestControllerAgent_MissReward(Clone),1,4,2,0,0
71,TestTotalAgent_MissReward(Clone),0,0,6,4,1
72,TestControllerAgent_MissReward(Clone),1,4,11,1,0
72,TestTotalAgent_MissReward(Clone),0,1,13,4,1
73,TestControllerAgent_MissReward(Clone),1,4,3,1,0
73,TestTotalAgent_MissReward(Clone),0,1,6,4,1
74,TestControllerAgent_MissReward(Clone),0,3,4,4,1
74,TestTotalAgent_MissReward(Clone),1,4,4,3,0
75,TestControllerAgent_MissReward(Clone),1,4,8,0,0
75,TestTotalAgent_MissReward(Clone),0,0,10,4,1
76,TestControllerAgent_MissReward(Clone),0,1,15,4,1
76,TestTotalAgent_MissReward(Clone),1,4,19,1,0
77,TestControllerAgent_MissReward(Clone),1,4,13,2,0
77,TestTotalAgent_MissReward(Clone),0,2,22,4,1
78,TestControllerAgent_MissReward(Clone),0,1,8,4,1
78,TestTotalAgent_MissReward(Clone),1,4,11,1,0
79,TestControllerAgent_MissReward(Clone),0,1,17,4,1
79,TestTotalAgent_MissReward(Clone),1,4,27,1,0
80,TestControllerAgent_MissReward(Clone),0,2,6,4,1
80,TestTotalAgent_MissReward(Clone),1,4,4,2,0
81,TestControllerAgent_MissReward(Clone),1,4,7,3,0
81,TestTotalAgent_MissReward(Clone),0,3,9,4,1
82,TestControllerAgent_MissReward(Clone),1,4,42,1,0
82,TestTotalAgent_MissReward(Clone),0,1,44,4,1
83,TestControllerAgent_MissReward(Clone),0,0,0,4,1
83,TestTotalAgent_MissReward(Clone),1,4,9,0,0
84,TestControllerAgent_MissReward(Clone),1,4,16,1,0
84,TestTotalAgent_MissReward(Clone),0,1,17,4,1
85,TestControllerAgent_MissReward(Clone),0,3,2,4,1
85,TestTotalAgent_MissReward(Clone),1,4,4,3,0
86,TestControllerAgent_MissReward(Clone),1,4,21,1,0
86,TestTotalAgent_MissReward(Clone),0,1,24,4,1
87,TestControllerAgent_MissReward(Clone),1,4,8,2,0
87,TestTotalAgent_MissReward(Clone),0,2,10,4,1
88,TestControllerAgent_MissReward(Clone),1,4,16,3,0
88,TestTotalAgent_MissReward(Clone),0,3,16,4,1
89,TestControllerAgent_MissReward(Clone),1,4,4,0,0
89,TestTotalAgent_MissReward(Clone),0,0,9,4,1
90,TestControllerAgent_MissReward(Clone),0,2,12,4,1
90,TestTotalAgent_MissReward(Clone),1,4,11,2,0
91,TestControllerAgent_MissReward(Clone),0,3,5,4,1
91,TestTotalAgent_MissReward(Clone),1,4,21,3,0
92,TestControllerAgent_MissReward(Clone),0,0,6,4,1
92,TestTotalAgent_MissReward(Clone),1,4,11,0,0
93,TestControllerAgent_MissReward(Clone),1,4,14,3,0
93,TestTotalAgent_MissReward(Clone),0,3,34,4,1
94,TestControllerAgent_MissReward(Clone),1,4,3,1,0
94,TestTotalAgent_MissReward(Clone),0,1,6,4,1
95,TestControllerAgent_MissReward(Clone),1,4,6,0,0
95,TestTotalAgent_MissReward(Clone),0,0,9,4,1
96,TestControllerAgent_MissReward(Clone),0,1,4,4,1
96,TestTotalAgent_MissReward(Clone),1,4,20,1,0
97,TestControllerAgent_MissReward(Clone),1,4,17,0,0
97,TestTotalAgent_MissReward(Clone),0,0,19,4,1
98,TestControllerAgent_MissReward(Clone),1,4,14,2,0
98,TestTotalAgent_MissReward(Clone),0,2,15,4,1
99,TestControllerAgent_MissReward(Clone),1,4,13,1,0
99,TestTotalAgent_MissReward(Clone),0,1,16,4,1
100,TestControllerAgent_MissReward(Clone),1,4,2,2,0
100,TestTotalAgent_MissReward(Clone),0,2,4,4,1
101,TestControllerAgent_MissReward(Clone),0,3,10,4,1
101,TestTotalAgent_MissReward(Clone),1,4,9,3,0
102,TestControllerAgent_MissReward(Clone),1,4,3,2,0
102,TestTotalAgent_MissReward(Clone),0,2,4,4,1
103,TestControllerAgent_MissReward(Clone),1,4,7,1,0
103,TestTotalAgent_MissReward(Clone),0,1,12,4,1
104,TestControllerAgent_MissReward(Clone),1,4,3,1,0
104,TestTotalAgent_MissReward(Clone),0,1,6,4,1
105,TestControllerAgent_MissReward(Clone),1,4,4,1,0
105,TestTotalAgent_MissReward(Clone),0,1,6,4,1
106,TestControllerAgent_MissReward(Clone),1,4,5,3,0
106,TestTotalAgent_MissReward(Clone),0,3,6,4,1
107,TestControllerAgent_MissReward(Clone),1,4,22,3,0
107,TestTotalAgent_MissReward(Clone),0,3,27,4,1
108,TestControllerAgent_MissReward(Clone),0,3,92,1,0
108,TestTotalAgent_MissReward(Clone),0,1,114,3,0
109,TestControllerAgent_MissReward(Clone),1,4,17,1,0
109,TestTotalAgent_MissReward(Clone),0,1,19,4,1
110,TestControllerAgent_MissReward(Clone),1,4,11,0,0
110,TestTotalAgent_MissReward(Clone),0,0,14,4,1
111,TestControllerAgent_MissReward(Clone),1,4,10,1,0
111,TestTotalAgent_MissReward(Clone),0,1,13,4,1
112,TestControllerAgent_MissReward(Clone),1,4,8,2,0
112,TestTotalAgent_MissReward(Clone),0,2,12,4,1
113,TestControllerAgent_MissReward(Clone),0,3,9,4,1
113,TestTotalAgent_MissReward(Clone),1,4,9,3,0
114,TestControllerAgent_MissReward(Clone),1,4,11,2,0
114,TestTotalAgent_MissReward(Clone),0,2,12,4,1
115,TestControllerAgent_MissReward(Clone),0,3,3,4,1
115,TestTotalAgent_MissReward(Clone),1,4,2,3,0
116,TestControllerAgent_MissReward(Clone),1,4,17,3,0
116,TestTotalAgent_MissReward(Clone),0,3,20,4,1
117,TestControllerAgent_MissReward(Clone),1,4,10,1,0
117,TestTotalAgent_MissReward(Clone),0,1,28,4,1
118,TestControllerAgent_MissReward(Clone),0,1,10,4,1
118,TestTotalAgent_MissReward(Clone),1,4,16,1,0
119,TestControllerAgent_MissReward(Clone),0,1,17,4,1
119,TestTotalAgent_MissReward(Clone),1,4,19,1,0
120,TestControllerAgent_MissReward(Clone),0,0,9,4,1
120,TestTotalAgent_MissReward(Clone),1,4,5,0,0
121,TestControllerAgent_MissReward(Clone),1,4,6,0,0
121,TestTotalAgent_MissReward(Clone),0,0,13,4,1
122,TestControllerAgent_MissReward(Clone),1,4,18,3,0
122,TestTotalAgent_MissReward(Clone),0,3,19,4,1
123,TestControllerAgent_MissReward(Clone),1,4,6,1,0
123,TestTotalAgent_MissReward(Clone),0,1,8,4,1
124,TestControllerAgent_MissReward(Clone),0,1,48,4,1
124,TestTotalAgent_MissReward(Clone),1,4,47,1,0
125,TestControllerAgent_MissReward(Clone),0,2,10,4,1
125,TestTotalAgent_MissReward(Clone),1,4,7,2,0
126,TestControllerAgent_MissReward(Clone),1,4,2,0,0
126,TestTotalAgent_MissReward(Clone),0,0,5,4,1
127,TestControllerAgent_MissReward(Clone),0,0,15,4,1
127,TestTotalAgent_MissReward(Clone),1,4,12,0,0
128,TestControllerAgent_MissReward(Clone),1,4,17,3,0
128,TestTotalAgent_MissReward(Clone),0,3,16,4,1
129,TestControllerAgent_MissReward(Clone),1,4,8,1,0
129,TestTotalAgent_MissReward(Clone),0,1,11,4,1
130,TestControllerAgent_MissReward(Clone),1,4,12,1,0
130,TestTotalAgent_MissReward(Clone),0,1,15,4,1
131,TestControllerAgent_MissReward(Clone),0,0,8,4,1
131,TestTotalAgent_MissReward(Clone),1,4,7,0,0
132,TestControllerAgent_MissReward(Clone),1,4,43,2,0
132,TestTotalAgent_MissReward(Clone),0,2,43,4,1
133,TestControllerAgent_MissReward(Clone),0,1,22,4,1
133,TestTotalAgent_MissReward(Clone),1,4,24,1,0
134,TestControllerAgent_MissReward(Clone),1,4,10,0,0
134,TestTotalAgent_MissReward(Clone),0,0,13,4,1
135,TestControllerAgent_MissReward(Clone),1,4,17,0,0
135,TestTotalAgent_MissReward(Clone),0,0,20,4,1
136,TestControllerAgent_MissReward(Clone),1,4,4,3,0
136,TestTotalAgent_MissReward(Clone),0,3,5,4,1
137,TestControllerAgent_MissReward(Clone),0,1,4,4,1
137,TestTotalAgent_MissReward(Clone),1,4,23,1,0
138,TestControllerAgent_MissReward(Clone),0,1,76,2,0
138,TestTotalAgent_MissReward(Clone),0,2,113,1,0
139,TestControllerAgent_MissReward(Clone),1,4,5,1,0
139,TestTotalAgent_MissReward(Clone),0,1,9,4,1
140,TestControllerAgent_MissReward(Clone),1,4,18,0,0
140,TestTotalAgent_MissReward(Clone),0,0,21,4,1
141,TestControllerAgent_MissReward(Clone),1,4,19,2,0
141,TestTotalAgent_MissReward(Clone),0,2,21,4,1
142,TestControllerAgent_MissReward(Clone),1,4,22,2,0
142,TestTotalAgent_MissReward(Clone),0,2,24,4,1
143,TestControllerAgent_MissReward(Clone),1,4,6,0,0
143,TestTotalAgent_MissReward(Clone),0,0,9,4,1
144,TestControllerAgent_MissReward(Clone),1,4,8,2,0
144,TestTotalAgent_MissReward(Clone),0,2,10,4,1
