ControllerAgent_MissReward vs TotalAgent_Origin,,,,,,
열1,열2,열3,열4,공격 수,열6,열7
1,TestControllerAgent_MissReward(Clone),1,4,9,0,0
1,TestTotalAgent_Origin(Clone),0,0,14,4,1
2,TestControllerAgent_MissReward(Clone),1,4,5,1,0
2,TestTotalAgent_Origin(Clone),0,1,8,4,1
3,TestControllerAgent_MissReward(Clone),1,4,29,3,0
3,TestTotalAgent_Origin(Clone),0,3,35,4,1
4,TestControllerAgent_MissReward(Clone),1,4,23,3,0
4,TestTotalAgent_Origin(Clone),0,3,40,4,1
5,TestControllerAgent_MissReward(Clone),0,3,10,4,1
5,TestTotalAgent_Origin(Clone),1,4,10,3,0
6,TestControllerAgent_MissReward(Clone),1,4,7,1,0
6,TestTotalAgent_Origin(Clone),0,1,9,4,1
7,TestControllerAgent_MissReward(Clone),1,4,18,2,0
7,TestTotalAgent_Origin(Clone),0,2,19,4,1
8,TestControllerAgent_MissReward(Clone),1,4,13,2,0
8,TestTotalAgent_Origin(Clone),0,2,14,4,1
9,TestControllerAgent_MissReward(Clone),0,0,11,4,1
9,TestTotalAgent_Origin(Clone),1,4,8,0,0
10,TestControllerAgent_MissReward(Clone),1,4,13,0,0
10,TestTotalAgent_Origin(Clone),0,0,15,4,1
11,TestControllerAgent_MissReward(Clone),1,4,21,3,0
11,TestTotalAgent_Origin(Clone),0,3,21,4,1
12,TestControllerAgent_MissReward(Clone),1,4,18,3,0
12,TestTotalAgent_Origin(Clone),0,3,19,4,1
13,TestControllerAgent_MissReward(Clone),1,4,24,1,0
13,TestTotalAgent_Origin(Clone),0,1,29,4,1
14,TestControllerAgent_MissReward(Clone),0,0,19,4,1
14,TestTotalAgent_Origin(Clone),1,4,18,0,0
15,TestControllerAgent_MissReward(Clone),1,4,5,1,0
15,TestTotalAgent_Origin(Clone),0,1,8,4,1
16,TestControllerAgent_MissReward(Clone),1,4,4,1,0
16,TestTotalAgent_Origin(Clone),0,1,6,4,1
17,TestControllerAgent_MissReward(Clone),1,4,17,2,0
17,TestTotalAgent_Origin(Clone),0,2,22,4,1
18,TestControllerAgent_MissReward(Clone),1,4,7,0,0
18,TestTotalAgent_Origin(Clone),0,0,10,4,1
19,TestControllerAgent_MissReward(Clone),1,4,3,1,0
19,TestTotalAgent_Origin(Clone),0,1,6,4,1
20,TestControllerAgent_MissReward(Clone),0,0,17,4,1
20,TestTotalAgent_Origin(Clone),1,4,13,0,0
21,TestControllerAgent_MissReward(Clone),1,4,8,0,0
21,TestTotalAgent_Origin(Clone),0,0,11,4,1
22,TestControllerAgent_MissReward(Clone),1,4,5,1,0
22,TestTotalAgent_Origin(Clone),0,1,8,4,1
23,TestControllerAgent_MissReward(Clone),1,4,10,0,0
23,TestTotalAgent_Origin(Clone),0,0,13,4,1
24,TestControllerAgent_MissReward(Clone),1,4,7,0,0
24,TestTotalAgent_Origin(Clone),0,0,11,4,1
25,TestControllerAgent_MissReward(Clone),0,2,31,4,1
25,TestTotalAgent_Origin(Clone),1,4,28,2,0
26,TestControllerAgent_MissReward(Clone),1,4,13,2,0
26,TestTotalAgent_Origin(Clone),0,2,14,4,1
27,TestControllerAgent_MissReward(Clone),1,4,7,0,0
27,TestTotalAgent_Origin(Clone),0,0,11,4,1
28,TestControllerAgent_MissReward(Clone),1,4,21,2,0
28,TestTotalAgent_Origin(Clone),0,2,28,4,1
