Outcome,Episode,Agent Name,Team ID,Kill Count,Attack Count,Miss Count,Hit Count,Death Count,Episode Play Time
Win,1,TestControllerAgent_MissReward_Team0_Agent0,0,1,4,58,0,0,36.18452
Loss,1,TestTotalAgent_MissReward_Team1_Agent0,1,0,0,65,4,1,36.18452
Win,2,TestControllerAgent_MissReward_Team0_Agent0,0,1,4,59,0,0,33.74238
Loss,2,TestTotalAgent_MissReward_Team1_Agent0,1,0,0,59,4,1,33.74238
Win,3,TestControllerAgent_MissReward_Team0_Agent0,0,1,4,45,0,0,26.2777
Loss,3,TestTotalAgent_MissReward_Team1_Agent0,1,0,0,45,4,1,26.2777
Win,4,TestControllerAgent_MissReward_Team0_Agent0,0,1,4,61,0,0,36.46152
Loss,4,TestTotalAgent_MissReward_Team1_Agent0,1,0,0,65,4,1,36.46152
Win,5,TestControllerAgent_MissReward_Team0_Agent0,0,1,4,37,1,0,23.19793
Loss,5,TestTotalAgent_MissReward_Team1_Agent0,1,0,1,35,4,1,23.19793
Win,6,TestControllerAgent_MissReward_Team0_Agent0,0,1,4,132,1,0,76.46085
Loss,6,TestTotalAgent_MissReward_Team1_Agent0,1,0,1,132,4,1,76.46085
Win,7,TestControllerAgent_MissReward_Team0_Agent0,0,1,4,59,1,0,33.84495
Loss,7,TestTotalAgent_MissReward_Team1_Agent0,1,0,1,57,4,1,33.84495
Win,8,TestControllerAgent_MissReward_Team0_Agent0,0,1,4,30,0,0,18.79496
Loss,8,TestTotalAgent_MissReward_Team1_Agent0,1,0,0,33,4,1,18.79496
Win,9,TestControllerAgent_MissReward_Team0_Agent0,0,1,4,73,1,0,45.08619
Loss,9,TestTotalAgent_MissReward_Team1_Agent0,1,0,1,85,4,1,45.08619
Win,10,TestControllerAgent_MissReward_Team0_Agent0,0,1,4,30,1,0,18.34798
Loss,10,TestTotalAgent_MissReward_Team1_Agent0,1,0,1,26,4,1,18.34798
Win,11,TestControllerAgent_MissReward_Team0_Agent0,0,1,4,12,0,0,8.538768
Loss,11,TestTotalAgent_MissReward_Team1_Agent0,1,0,0,8,4,1,8.538768
Win,12,TestControllerAgent_MissReward_Team0_Agent0,0,1,4,68,2,0,40.2303
Loss,12,TestTotalAgent_MissReward_Team1_Agent0,1,0,2,73,4,1,40.2303
Draw,13,TestControllerAgent_MissReward_Team0_Agent0,0,0,3,147,3,0,100.0139
Draw,13,TestTotalAgent_MissReward_Team1_Agent0,1,0,3,147,3,0,100.0139
Win,14,TestControllerAgent_MissReward_Team0_Agent0,0,1,4,66,1,0,36.92179
Loss,14,TestTotalAgent_MissReward_Team1_Agent0,1,0,1,63,4,1,36.92179
Win,15,TestControllerAgent_MissReward_Team0_Agent0,0,1,4,68,0,0,40.19995
Loss,15,TestTotalAgent_MissReward_Team1_Agent0,1,0,0,73,4,1,40.19995
Win,16,TestControllerAgent_MissReward_Team0_Agent0,0,1,4,40,1,0,22.99738
Loss,16,TestTotalAgent_MissReward_Team1_Agent0,1,0,1,38,4,1,22.99738
Win,17,TestControllerAgent_MissReward_Team0_Agent0,0,1,4,58,0,0,34.08951
Loss,17,TestTotalAgent_MissReward_Team1_Agent0,1,0,0,63,4,1,34.08951
Win,18,TestControllerAgent_MissReward_Team0_Agent0,0,1,4,82,2,0,45.89495
Loss,18,TestTotalAgent_MissReward_Team1_Agent0,1,0,2,82,4,1,45.89495
Win,19,TestControllerAgent_MissReward_Team0_Agent0,0,1,4,50,0,0,28.33604
Loss,19,TestTotalAgent_MissReward_Team1_Agent0,1,0,0,49,4,1,28.33604
Win,20,TestControllerAgent_MissReward_Team0_Agent0,0,1,4,12,0,0,8.36325
Loss,20,TestTotalAgent_MissReward_Team1_Agent0,1,0,0,12,4,1,8.36325
Draw,21,TestControllerAgent_MissReward_Team0_Agent0,0,0,2,148,1,0,100.0244
Draw,21,TestTotalAgent_MissReward_Team1_Agent0,1,0,1,149,2,0,100.0244
Win,22,TestControllerAgent_MissReward_Team0_Agent0,0,1,4,68,0,0,41.11358
Loss,22,TestTotalAgent_MissReward_Team1_Agent0,1,0,0,76,4,1,41.11358
Win,23,TestControllerAgent_MissReward_Team0_Agent0,0,1,4,39,3,0,23.17639
Loss,23,TestTotalAgent_MissReward_Team1_Agent0,1,0,3,38,4,1,23.17639
Win,24,TestControllerAgent_MissReward_Team0_Agent0,0,1,4,75,2,0,44.78069
Loss,24,TestTotalAgent_MissReward_Team1_Agent0,1,0,2,81,4,1,44.78069
Win,25,TestControllerAgent_MissReward_Team0_Agent0,0,1,4,4,0,0,3.76235
Loss,25,TestTotalAgent_MissReward_Team1_Agent0,1,0,0,8,4,1,3.76235
