Outcome,Episode,Agent Name,Team ID,Kill Count,Attack Count,Miss Count,Hit Count,Death Count,Episode Play Time
Win,1,TestControllerAgent_Origin_Team0_Agent0,0,1,4,53,0,0,28.30904
Loss,1,TestTotalAgent_MissReward_Team1_Agent0,1,0,0,49,4,1,28.30904
Win,2,TestControllerAgent_Origin_Team0_Agent0,0,1,4,35,0,0,19.68231
Loss,2,TestTotalAgent_MissReward_Team1_Agent0,1,0,0,37,4,1,19.68231
Win,3,TestControllerAgent_Origin_Team0_Agent0,0,1,4,53,0,0,28.14552
Loss,3,TestTotalAgent_MissReward_Team1_Agent0,1,0,0,47,4,1,28.14552
Win,4,TestControllerAgent_Origin_Team0_Agent0,0,1,4,122,0,0,62.99852
Loss,4,TestTotalAgent_MissReward_Team1_Agent0,1,0,0,116,4,1,62.99852
Win,5,TestControllerAgent_Origin_Team0_Agent0,0,1,4,41,1,0,22.19955
Loss,5,TestTotalAgent_MissReward_Team1_Agent0,1,0,1,30,4,1,22.19955
Win,6,TestControllerAgent_Origin_Team0_Agent0,0,1,4,39,0,0,21.17936
Loss,6,TestTotalAgent_MissReward_Team1_Agent0,1,0,0,36,4,1,21.17936
Draw,7,TestControllerAgent_Origin_Team0_Agent0,0,0,2,148,3,0,100.0055
Draw,7,TestTotalAgent_MissReward_Team1_Agent0,1,0,3,147,2,0,100.0055
Win,8,TestControllerAgent_Origin_Team0_Agent0,0,1,4,114,0,0,58.85234
Loss,8,TestTotalAgent_MissReward_Team1_Agent0,1,0,0,101,4,1,58.85234
Win,9,TestControllerAgent_Origin_Team0_Agent0,0,1,4,116,2,0,60.00241
Loss,9,TestTotalAgent_MissReward_Team1_Agent0,1,0,2,107,4,1,60.00241
Win,10,TestControllerAgent_Origin_Team0_Agent0,0,1,4,126,1,0,65.07979
Loss,10,TestTotalAgent_MissReward_Team1_Agent0,1,0,1,122,4,1,65.07979
Win,11,TestControllerAgent_Origin_Team0_Agent0,0,1,4,93,2,0,49.0761
Loss,11,TestTotalAgent_MissReward_Team1_Agent0,1,0,2,87,4,1,49.0761
Win,12,TestControllerAgent_Origin_Team0_Agent0,0,1,4,59,0,0,31.24457
Loss,12,TestTotalAgent_MissReward_Team1_Agent0,1,0,0,55,4,1,31.24457
Win,13,TestControllerAgent_Origin_Team0_Agent0,0,1,4,37,1,0,20.74542
Loss,13,TestTotalAgent_MissReward_Team1_Agent0,1,0,1,33,4,1,20.74542
Draw,14,TestControllerAgent_Origin_Team0_Agent0,0,0,3,147,1,0,100.0551
Draw,14,TestTotalAgent_MissReward_Team1_Agent0,1,0,1,149,3,0,100.0551
Win,15,TestControllerAgent_Origin_Team0_Agent0,0,1,4,67,2,0,35.45959
Loss,15,TestTotalAgent_MissReward_Team1_Agent0,1,0,2,58,4,1,35.45959
Win,16,TestControllerAgent_Origin_Team0_Agent0,0,1,4,107,2,0,55.52218
Loss,16,TestTotalAgent_MissReward_Team1_Agent0,1,0,2,102,4,1,55.52218
Win,17,TestControllerAgent_Origin_Team0_Agent0,0,1,4,82,1,0,42.87738
Loss,17,TestTotalAgent_MissReward_Team1_Agent0,1,0,1,79,4,1,42.87738
Win,18,TestControllerAgent_Origin_Team0_Agent0,0,1,4,35,0,0,19.16774
Loss,18,TestTotalAgent_MissReward_Team1_Agent0,1,0,0,37,4,1,19.16774
Win,19,TestControllerAgent_Origin_Team0_Agent0,0,1,4,54,1,0,28.67322
Loss,19,TestTotalAgent_MissReward_Team1_Agent0,1,0,1,49,4,1,28.67322
Win,20,TestControllerAgent_Origin_Team0_Agent0,0,1,4,56,1,0,30.21449
Loss,20,TestTotalAgent_MissReward_Team1_Agent0,1,0,1,51,4,1,30.21449
Win,21,TestControllerAgent_Origin_Team0_Agent0,0,1,4,73,1,0,38.58276
Loss,21,TestTotalAgent_MissReward_Team1_Agent0,1,0,1,65,4,1,38.58276
Win,22,TestControllerAgent_Origin_Team0_Agent0,0,1,4,92,1,0,48.25882
Loss,22,TestTotalAgent_MissReward_Team1_Agent0,1,0,1,86,4,1,48.25882
Win,23,TestControllerAgent_Origin_Team0_Agent0,0,1,4,61,1,0,32.23534
Loss,23,TestTotalAgent_MissReward_Team1_Agent0,1,0,1,53,4,1,32.23534
Win,24,TestControllerAgent_Origin_Team0_Agent0,0,1,4,90,0,0,46.90015
Loss,24,TestTotalAgent_MissReward_Team1_Agent0,1,0,0,86,4,1,46.90015
Win,25,TestControllerAgent_Origin_Team0_Agent0,0,1,4,42,0,0,23.12395
Loss,25,TestTotalAgent_MissReward_Team1_Agent0,1,0,0,41,4,1,23.12395
Win,26,TestControllerAgent_Origin_Team0_Agent0,0,1,4,4,0,0,3.64731
