Outcome,Episode,Agent Name,Team ID,Kill Count,Attack Count,Miss Count,Hit Count,Death Count,Episode Play Time
Win,0,TestControllerAgent_Origin_Team0_Agent0,0,1,4,18,1,0,10.63582
Loss,0,TestTotalAgent_Origin_Team1_Agent0,1,0,1,20,4,1,10.63582
Win,1,TestControllerAgent_Origin_Team0_Agent0,0,1,4,28,3,0,16.40737
Loss,1,TestTotalAgent_Origin_Team1_Agent0,1,0,3,29,4,1,16.40737
Loss,2,TestControllerAgent_Origin_Team0_Agent0,0,0,1,7,4,1,4.093171
Win,2,TestTotalAgent_Origin_Team1_Agent0,1,1,4,5,1,0,4.093171
Win,3,TestControllerAgent_Origin_Team0_Agent0,0,1,4,38,2,0,21.004
Loss,3,TestTotalAgent_Origin_Team1_Agent0,1,0,2,39,4,1,21.004
Win,4,TestControllerAgent_Origin_Team0_Agent0,0,1,4,13,1,0,8.112559
Loss,4,TestTotalAgent_Origin_Team1_Agent0,1,0,1,15,4,1,8.112559
Win,5,TestControllerAgent_Origin_Team0_Agent0,0,1,4,24,0,0,13.53554
Loss,5,TestTotalAgent_Origin_Team1_Agent0,1,0,0,26,4,1,13.53554
Win,6,TestControllerAgent_Origin_Team0_Agent0,0,1,4,9,1,0,6.447674
Loss,6,TestTotalAgent_Origin_Team1_Agent0,1,0,1,12,4,1,6.447674
Loss,7,TestControllerAgent_Origin_Team0_Agent0,0,0,1,9,4,1,4.73876
Win,7,TestTotalAgent_Origin_Team1_Agent0,1,1,4,6,1,0,4.73876
Win,8,TestControllerAgent_Origin_Team0_Agent0,0,1,4,9,0,0,6.01633
Loss,8,TestTotalAgent_Origin_Team1_Agent0,1,0,0,12,4,1,6.01633
Loss,9,TestControllerAgent_Origin_Team0_Agent0,0,0,3,46,4,1,24.44841
Win,9,TestTotalAgent_Origin_Team1_Agent0,1,1,4,43,3,0,24.44841
Win,10,TestControllerAgent_Origin_Team0_Agent0,0,1,4,3,0,0,3.664491
Loss,10,TestTotalAgent_Origin_Team1_Agent0,1,0,0,8,4,1,3.664491
Win,11,TestControllerAgent_Origin_Team0_Agent0,0,1,4,13,0,0,8.062429
Loss,11,TestTotalAgent_Origin_Team1_Agent0,1,0,0,16,4,1,8.062429
Win,12,TestControllerAgent_Origin_Team0_Agent0,0,1,4,12,1,0,7.519834
Loss,12,TestTotalAgent_Origin_Team1_Agent0,1,0,1,14,4,1,7.519834
Win,13,TestControllerAgent_Origin_Team0_Agent0,0,1,4,20,1,0,11.5244
Loss,13,TestTotalAgent_Origin_Team1_Agent0,1,0,1,22,4,1,11.5244
Win,14,TestControllerAgent_Origin_Team0_Agent0,0,1,4,16,0,0,9.474964
Loss,14,TestTotalAgent_Origin_Team1_Agent0,1,0,0,19,4,1,9.474964
Loss,15,TestControllerAgent_Origin_Team0_Agent0,0,0,1,17,4,1,8.566236
Win,15,TestTotalAgent_Origin_Team1_Agent0,1,1,4,13,1,0,8.566236
Win,16,TestControllerAgent_Origin_Team0_Agent0,0,1,4,63,3,0,33.16011
Loss,16,TestTotalAgent_Origin_Team1_Agent0,1,0,3,61,4,1,33.16011
Win,17,TestControllerAgent_Origin_Team0_Agent0,0,1,4,90,2,0,47.45753
Loss,17,TestTotalAgent_Origin_Team1_Agent0,1,0,2,90,4,1,47.45753
Win,18,TestControllerAgent_Origin_Team0_Agent0,0,1,4,19,3,0,11.0414
Loss,18,TestTotalAgent_Origin_Team1_Agent0,1,0,3,19,4,1,11.0414
Loss,19,TestControllerAgent_Origin_Team0_Agent0,0,0,0,6,4,1,2.504509
Win,19,TestTotalAgent_Origin_Team1_Agent0,1,1,4,2,0,0,2.504509
Win,20,TestControllerAgent_Origin_Team0_Agent0,0,1,4,15,0,0,9.182743
Loss,20,TestTotalAgent_Origin_Team1_Agent0,1,0,0,18,4,1,9.182743
Win,21,TestControllerAgent_Origin_Team0_Agent0,0,1,4,48,1,0,25.94099
Loss,21,TestTotalAgent_Origin_Team1_Agent0,1,0,1,49,4,1,25.94099
Win,22,TestControllerAgent_Origin_Team0_Agent0,0,1,4,19,0,0,11.03287
Loss,22,TestTotalAgent_Origin_Team1_Agent0,1,0,0,21,4,1,11.03287
Win,23,TestControllerAgent_Origin_Team0_Agent0,0,1,4,31,0,0,17.10529
Loss,23,TestTotalAgent_Origin_Team1_Agent0,1,0,0,33,4,1,17.10529
Win,24,TestControllerAgent_Origin_Team0_Agent0,0,1,4,46,2,0,28.44139
Loss,24,TestTotalAgent_Origin_Team1_Agent0,1,0,2,53,4,1,28.44139
Win,25,TestControllerAgent_Origin_Team0_Agent0,0,1,4,23,2,0,15.26449
Loss,25,TestTotalAgent_Origin_Team1_Agent0,1,0,2,28,4,1,15.26449
Win,26,TestControllerAgent_Origin_Team0_Agent0,0,1,4,27,3,0,15.18004
