Outcome,Episode,Agent Name,Team ID,Kill Count,Attack Count,Miss Count,Hit Count,Death Count,Episode Play Time
Win,1,TestControllerAgent_MissReward_Team0_Agent0,0,0,0,6,2,0,17.29931
Win,1,TestControllerAgent_MissReward_Team0_Agent1,0,2,8,15,0,0,17.29931
Loss,1,TestTotalAgent_MissReward_Team1_Agent0,1,0,2,27,4,1,17.29931
Loss,1,TestTotalAgent_MissReward_Team1_Agent1,1,0,0,30,4,1,17.29931
Win,2,TestControllerAgent_MissReward_Team0_Agent0,0,2,8,22,2,0,22.59049
Win,2,TestControllerAgent_MissReward_Team0_Agent1,0,0,0,4,4,1,22.59049
Loss,2,TestTotalAgent_MissReward_Team1_Agent0,1,1,4,36,4,1,22.59049
Loss,2,TestTotalAgent_MissReward_Team1_Agent1,1,0,2,36,4,1,22.59049
Win,3,TestControllerAgent_MissReward_Team0_Agent0,0,2,8,18,2,0,24.40899
Win,3,TestControllerAgent_MissReward_Team0_Agent1,0,0,0,5,4,1,24.40899
Loss,3,TestTotalAgent_MissReward_Team1_Agent0,1,1,2,41,4,1,24.40899
Loss,3,TestTotalAgent_MissReward_Team1_Agent1,1,0,4,36,4,1,24.40899
Win,4,TestControllerAgent_MissReward_Team0_Agent0,0,0,0,4,4,1,11.16571
Win,4,TestControllerAgent_MissReward_Team0_Agent1,0,2,8,5,1,0,11.16571
Loss,4,TestTotalAgent_MissReward_Team1_Agent0,1,1,5,13,4,1,11.16571
Loss,4,TestTotalAgent_MissReward_Team1_Agent1,1,0,0,20,4,1,11.16571
Win,5,TestControllerAgent_MissReward_Team0_Agent0,0,2,8,46,1,0,33.04426
Win,5,TestControllerAgent_MissReward_Team0_Agent1,0,0,0,20,4,1,33.04426
Loss,5,TestTotalAgent_MissReward_Team1_Agent0,1,0,2,48,4,1,33.04426
Loss,5,TestTotalAgent_MissReward_Team1_Agent1,1,1,3,41,4,1,33.04426
Loss,6,TestControllerAgent_MissReward_Team0_Agent0,0,0,0,8,4,1,15.08076
Loss,6,TestControllerAgent_MissReward_Team0_Agent1,0,0,0,1,4,1,15.08076
Win,6,TestTotalAgent_MissReward_Team1_Agent0,1,2,5,23,0,0,15.08076
Win,6,TestTotalAgent_MissReward_Team1_Agent1,1,0,3,23,0,0,15.08076
Win,7,TestControllerAgent_MissReward_Team0_Agent0,0,2,8,11,1,0,16.64279
Win,7,TestControllerAgent_MissReward_Team0_Agent1,0,0,0,19,0,0,16.64279
Loss,7,TestTotalAgent_MissReward_Team1_Agent0,1,0,0,30,4,1,16.64279
Loss,7,TestTotalAgent_MissReward_Team1_Agent1,1,0,1,23,4,1,16.64279
