Outcome,Episode,Agent Name,Team ID,Kill Count,Attack Count,Miss Count,Hit Count,Death Count,Episode Play Time
Win,1,TestControllerAgent_MissReward_Team0_Agent0,0,0,0,11,2,0,12.49586
Win,1,TestControllerAgent_MissReward_Team0_Agent1,0,2,8,15,0,0,12.49586
Loss,1,TestTotalAgent_Origin_Team1_Agent0,1,0,0,7,4,1,12.49586
Loss,1,TestTotalAgent_Origin_Team1_Agent1,1,0,2,22,4,1,12.49586
Win,2,TestControllerAgent_MissReward_Team0_Agent0,0,2,8,21,0,0,16.41905
Win,2,TestControllerAgent_MissReward_Team0_Agent1,0,0,0,1,4,1,16.41905
Loss,2,TestTotalAgent_Origin_Team1_Agent0,1,0,0,32,4,1,16.41905
Loss,2,TestTotalAgent_Origin_Team1_Agent1,1,1,4,25,4,1,16.41905
Win,3,TestControllerAgent_MissReward_Team0_Agent0,0,0,1,7,3,0,20.09694
Win,3,TestControllerAgent_MissReward_Team0_Agent1,0,2,7,13,3,0,20.09694
Loss,3,TestTotalAgent_Origin_Team1_Agent0,1,0,3,36,4,1,20.09694
Loss,3,TestTotalAgent_Origin_Team1_Agent1,1,0,3,35,4,1,20.09694
Win,4,TestControllerAgent_MissReward_Team0_Agent0,0,1,2,24,0,0,14.08302
Win,4,TestControllerAgent_MissReward_Team0_Agent1,0,1,6,18,0,0,14.08302
Loss,4,TestTotalAgent_Origin_Team1_Agent0,1,0,0,10,4,1,14.08302
Loss,4,TestTotalAgent_Origin_Team1_Agent1,1,0,0,28,4,1,14.08302
Win,5,TestControllerAgent_MissReward_Team0_Agent0,0,2,8,19,1,0,17.64058
Win,5,TestControllerAgent_MissReward_Team0_Agent1,0,0,0,34,1,0,17.64058
Loss,5,TestTotalAgent_Origin_Team1_Agent0,1,0,2,33,4,1,17.64058
Loss,5,TestTotalAgent_Origin_Team1_Agent1,1,0,0,28,4,1,17.64058
Win,6,TestControllerAgent_MissReward_Team0_Agent0,0,0,6,28,0,0,16.84389
Win,6,TestControllerAgent_MissReward_Team0_Agent1,0,2,2,24,2,0,16.84389
Loss,6,TestTotalAgent_Origin_Team1_Agent0,1,0,2,29,4,1,16.84389
Loss,6,TestTotalAgent_Origin_Team1_Agent1,1,0,0,33,4,1,16.84389
Loss,7,TestControllerAgent_MissReward_Team0_Agent0,0,0,0,3,4,1,23.53715
Loss,7,TestControllerAgent_MissReward_Team0_Agent1,0,0,0,6,4,1,23.53715
Win,7,TestTotalAgent_Origin_Team1_Agent0,1,1,3,43,0,0,23.53715
Win,7,TestTotalAgent_Origin_Team1_Agent1,1,1,5,40,0,0,23.53715
