Outcome,Episode,Agent Name,Team ID,Kill Count,Attack Count,Miss Count,Hit Count,Death Count,Episode Play Time
Win,1,TestControllerAgent_Origin_Team0_Agent0,0,0,3,37,3,0,20.074
Win,1,TestControllerAgent_Origin_Team0_Agent1,0,2,5,35,1,0,20.074
Loss,1,TestTotalAgent_MissReward_Team1_Agent0,1,0,0,3,4,1,20.074
Loss,1,TestTotalAgent_MissReward_Team1_Agent1,1,0,4,31,4,1,20.074
Win,2,TestControllerAgent_Origin_Team0_Agent0,0,2,7,20,1,0,13.64117
Win,2,TestControllerAgent_Origin_Team0_Agent1,0,0,1,26,1,0,13.64117
Loss,2,TestTotalAgent_MissReward_Team1_Agent0,1,0,0,10,4,1,13.64117
Loss,2,TestTotalAgent_MissReward_Team1_Agent1,1,0,2,22,4,1,13.64117
Loss,3,TestControllerAgent_Origin_Team0_Agent0,0,0,0,12,4,1,9.772835
Loss,3,TestControllerAgent_Origin_Team0_Agent1,0,0,0,19,4,1,9.772835
Win,3,TestTotalAgent_MissReward_Team1_Agent0,1,0,1,18,0,0,9.772835
Win,3,TestTotalAgent_MissReward_Team1_Agent1,1,2,7,13,0,0,9.772835
Loss,4,TestControllerAgent_Origin_Team0_Agent0,0,0,2,20,4,1,13.18203
Loss,4,TestControllerAgent_Origin_Team0_Agent1,0,0,0,26,4,1,13.18203
Win,4,TestTotalAgent_MissReward_Team1_Agent0,1,2,8,18,0,0,13.18203
Win,4,TestTotalAgent_MissReward_Team1_Agent1,1,0,0,25,2,0,13.18203
Win,5,TestControllerAgent_Origin_Team0_Agent0,0,0,1,13,4,1,17.97515
Win,5,TestControllerAgent_Origin_Team0_Agent1,0,2,7,28,3,0,17.97515
Loss,5,TestTotalAgent_MissReward_Team1_Agent0,1,0,1,27,4,1,17.97515
Loss,5,TestTotalAgent_MissReward_Team1_Agent1,1,1,6,9,4,1,17.97515
Loss,6,TestControllerAgent_Origin_Team0_Agent0,0,0,3,20,4,1,19.43768
Loss,6,TestControllerAgent_Origin_Team0_Agent1,0,0,0,39,4,1,19.43768
Win,6,TestTotalAgent_MissReward_Team1_Agent0,1,2,7,27,2,0,19.43768
Win,6,TestTotalAgent_MissReward_Team1_Agent1,1,0,1,37,1,0,19.43768
Win,7,TestControllerAgent_Origin_Team0_Agent0,0,0,0,11,4,1,40.77546
Win,7,TestControllerAgent_Origin_Team0_Agent1,0,2,8,73,3,0,40.77546
Loss,7,TestTotalAgent_MissReward_Team1_Agent0,1,0,0,66,4,1,40.77546
Loss,7,TestTotalAgent_MissReward_Team1_Agent1,1,1,7,63,4,1,40.77546
Win,8,TestControllerAgent_Origin_Team0_Agent0,0,0,1,15,4,1,30.75935
Win,8,TestControllerAgent_Origin_Team0_Agent1,0,2,7,54,0,0,30.75935
Loss,8,TestTotalAgent_MissReward_Team1_Agent0,1,1,4,22,4,1,30.75935
Loss,8,TestTotalAgent_MissReward_Team1_Agent1,1,0,0,49,4,1,30.75935
Win,9,TestControllerAgent_Origin_Team0_Agent0,0,1,3,45,2,0,23.9041
Win,9,TestControllerAgent_Origin_Team0_Agent1,0,1,5,42,0,0,23.9041
Loss,9,TestTotalAgent_MissReward_Team1_Agent0,1,0,1,33,4,1,23.9041
Loss,9,TestTotalAgent_MissReward_Team1_Agent1,1,0,1,21,4,1,23.9041
Win,10,TestControllerAgent_Origin_Team0_Agent0,0,2,6,39,3,0,22.67722
Win,10,TestControllerAgent_Origin_Team0_Agent1,0,0,2,43,0,0,22.67722
Loss,10,TestTotalAgent_MissReward_Team1_Agent0,1,0,1,22,4,1,22.67722
Loss,10,TestTotalAgent_MissReward_Team1_Agent1,1,0,2,33,4,1,22.67722
Loss,11,TestControllerAgent_Origin_Team0_Agent0,0,0,1,19,4,1,9.993518
Loss,11,TestControllerAgent_Origin_Team0_Agent1,0,0,0,18,4,1,9.993518
Win,11,TestTotalAgent_MissReward_Team1_Agent0,1,1,6,14,0,0,9.993518
Win,11,TestTotalAgent_MissReward_Team1_Agent1,1,1,2,14,1,0,9.993518
Win,12,TestControllerAgent_Origin_Team0_Agent0,0,0,0,29,4,1,27.84186
