Outcome,Episode,Agent Name,Team ID,Kill Count,Attack Count,Miss Count,Hit Count,Death Count,Episode Play Time
Win,0,TestControllerAgent_Origin_Team0_Agent0,0,0,0,19,1,0,9.416761
Win,0,TestControllerAgent_Origin_Team0_Agent1,0,2,8,11,0,0,9.416761
Loss,0,TestTotalAgent_Origin_Team1_Agent0,1,0,1,7,4,1,9.416761
Loss,0,TestTotalAgent_Origin_Team1_Agent1,1,0,0,18,4,1,9.416761
Win,1,TestControllerAgent_Origin_Team0_Agent0,0,2,7,14,1,0,10.37939
Win,1,TestControllerAgent_Origin_Team0_Agent1,0,0,1,20,2,0,10.37939
Loss,1,TestTotalAgent_Origin_Team1_Agent0,1,0,2,18,4,1,10.37939
Loss,1,TestTotalAgent_Origin_Team1_Agent1,1,0,1,18,4,1,10.37939
Loss,2,TestControllerAgent_Origin_Team0_Agent0,0,0,1,35,4,1,18.01875
Loss,2,TestControllerAgent_Origin_Team0_Agent1,0,0,0,27,4,1,18.01875
Win,2,TestTotalAgent_Origin_Team1_Agent0,1,1,5,30,1,0,18.01875
Win,2,TestTotalAgent_Origin_Team1_Agent1,1,1,3,32,0,0,18.01875
Win,3,TestControllerAgent_Origin_Team0_Agent0,0,0,4,32,3,0,18.71869
Win,3,TestControllerAgent_Origin_Team0_Agent1,0,2,4,33,3,0,18.71869
Loss,3,TestTotalAgent_Origin_Team1_Agent0,1,0,5,14,4,1,18.71869
Loss,3,TestTotalAgent_Origin_Team1_Agent1,1,0,1,35,4,1,18.71869
Win,4,TestControllerAgent_Origin_Team0_Agent0,0,2,7,21,3,0,13.80304
Win,4,TestControllerAgent_Origin_Team0_Agent1,0,0,1,26,0,0,13.80304
Loss,4,TestTotalAgent_Origin_Team1_Agent0,1,0,1,26,4,1,13.80304
Loss,4,TestTotalAgent_Origin_Team1_Agent1,1,0,2,18,4,1,13.80304
Win,5,TestControllerAgent_Origin_Team0_Agent0,0,1,7,57,3,0,32.59504
Win,5,TestControllerAgent_Origin_Team0_Agent1,0,1,1,57,2,0,32.59504
Loss,5,TestTotalAgent_Origin_Team1_Agent0,1,0,1,63,4,1,32.59504
Loss,5,TestTotalAgent_Origin_Team1_Agent1,1,0,4,27,4,1,32.59504
Loss,6,TestControllerAgent_Origin_Team0_Agent0,0,0,1,48,4,1,24.82091
Loss,6,TestControllerAgent_Origin_Team0_Agent1,0,0,1,11,4,1,24.82091
Win,6,TestTotalAgent_Origin_Team1_Agent0,1,2,6,43,2,0,24.82091
Win,6,TestTotalAgent_Origin_Team1_Agent1,1,0,2,46,0,0,24.82091
Win,7,TestControllerAgent_Origin_Team0_Agent0,0,0,2,19,0,0,10.68077
Win,7,TestControllerAgent_Origin_Team0_Agent1,0,2,6,16,2,0,10.68077
Loss,7,TestTotalAgent_Origin_Team1_Agent0,1,0,1,20,4,1,10.68077
Loss,7,TestTotalAgent_Origin_Team1_Agent1,1,0,1,18,4,1,10.68077
Win,8,TestControllerAgent_Origin_Team0_Agent0,0,0,0,14,0,0,6.803329
Win,8,TestControllerAgent_Origin_Team0_Agent1,0,2,8,6,1,0,6.803329
Loss,8,TestTotalAgent_Origin_Team1_Agent0,1,0,1,13,4,1,6.803329
Loss,8,TestTotalAgent_Origin_Team1_Agent1,1,0,0,12,4,1,6.803329
Win,9,TestControllerAgent_Origin_Team0_Agent0,0,0,0,23,0,0,11.82414
Win,9,TestControllerAgent_Origin_Team0_Agent1,0,2,8,16,3,0,11.82414
Loss,9,TestTotalAgent_Origin_Team1_Agent0,1,0,3,20,4,1,11.82414
Loss,9,TestTotalAgent_Origin_Team1_Agent1,1,0,0,11,4,1,11.82414
Win,10,TestControllerAgent_Origin_Team0_Agent0,0,0,0,7,4,1,26.19939
Win,10,TestControllerAgent_Origin_Team0_Agent1,0,2,8,44,2,0,26.19939
Loss,10,TestTotalAgent_Origin_Team1_Agent0,1,1,5,45,4,1,26.19939
Loss,10,TestTotalAgent_Origin_Team1_Agent1,1,0,1,43,4,1,26.19939
Win,11,TestControllerAgent_Origin_Team0_Agent0,0,2,8,50,3,0,32.25951
Win,11,TestControllerAgent_Origin_Team0_Agent1,0,0,0,64,3,0,32.25951
Loss,11,TestTotalAgent_Origin_Team1_Agent0,1,0,3,52,4,1,32.25951
Loss,11,TestTotalAgent_Origin_Team1_Agent1,1,0,3,59,4,1,32.25951
Loss,12,TestControllerAgent_Origin_Team0_Agent0,0,0,2,15,4,1,21.67557
Loss,12,TestControllerAgent_Origin_Team0_Agent1,0,1,5,38,4,1,21.67557
Win,12,TestTotalAgent_Origin_Team1_Agent0,1,1,3,40,3,0,21.67557
Win,12,TestTotalAgent_Origin_Team1_Agent1,1,1,5,26,4,1,21.67557
Win,13,TestControllerAgent_Origin_Team0_Agent0,0,2,6,24,1,0,14.9828
Win,13,TestControllerAgent_Origin_Team0_Agent1,0,0,2,27,2,0,14.9828
Loss,13,TestTotalAgent_Origin_Team1_Agent0,1,0,2,12,4,1,14.9828
Loss,13,TestTotalAgent_Origin_Team1_Agent1,1,0,1,29,4,1,14.9828
Loss,14,TestControllerAgent_Origin_Team0_Agent0,0,0,1,53,4,1,27.04089
Loss,14,TestControllerAgent_Origin_Team0_Agent1,0,0,0,12,4,1,27.04089
Win,14,TestTotalAgent_Origin_Team1_Agent0,1,1,3,50,1,0,27.04089
Win,14,TestTotalAgent_Origin_Team1_Agent1,1,1,5,48,0,0,27.04089
Win,15,TestControllerAgent_Origin_Team0_Agent0,0,0,0,24,2,0,12.29856
Win,15,TestControllerAgent_Origin_Team0_Agent1,0,2,8,17,2,0,12.29856
Loss,15,TestTotalAgent_Origin_Team1_Agent0,1,0,2,8,4,1,12.29856
Loss,15,TestTotalAgent_Origin_Team1_Agent1,1,0,2,22,4,1,12.29856
Win,16,TestControllerAgent_Origin_Team0_Agent0,0,2,8,27,3,0,17.38279
Win,16,TestControllerAgent_Origin_Team0_Agent1,0,0,0,35,3,0,17.38279
Loss,16,TestTotalAgent_Origin_Team1_Agent0,1,0,3,10,4,1,17.38279
Loss,16,TestTotalAgent_Origin_Team1_Agent1,1,0,3,30,4,1,17.38279
Win,17,TestControllerAgent_Origin_Team0_Agent0,0,0,1,22,0,0,11.74123
Win,17,TestControllerAgent_Origin_Team0_Agent1,0,2,7,17,2,0,11.74123
Loss,17,TestTotalAgent_Origin_Team1_Agent0,1,0,2,20,4,1,11.74123
Loss,17,TestTotalAgent_Origin_Team1_Agent1,1,0,0,23,4,1,11.74123
Win,18,TestControllerAgent_Origin_Team0_Agent0,0,2,7,20,2,0,13.52194
Win,18,TestControllerAgent_Origin_Team0_Agent1,0,0,1,26,1,0,13.52194
Loss,18,TestTotalAgent_Origin_Team1_Agent0,1,0,1,26,4,1,13.52194
Loss,18,TestTotalAgent_Origin_Team1_Agent1,1,0,2,21,4,1,13.52194
Loss,19,TestControllerAgent_Origin_Team0_Agent0,0,0,0,36,4,1,22.0411
Loss,19,TestControllerAgent_Origin_Team0_Agent1,0,0,0,44,4,1,22.0411
Win,19,TestTotalAgent_Origin_Team1_Agent0,1,0,3,39,0,0,22.0411
Win,19,TestTotalAgent_Origin_Team1_Agent1,1,2,5,38,0,0,22.0411
Loss,20,TestControllerAgent_Origin_Team0_Agent0,0,0,0,14,4,1,14.53091
Loss,20,TestControllerAgent_Origin_Team0_Agent1,0,0,1,28,4,1,14.53091
Win,20,TestTotalAgent_Origin_Team1_Agent0,1,2,6,23,1,0,14.53091
Win,20,TestTotalAgent_Origin_Team1_Agent1,1,0,2,27,0,0,14.53091
Win,21,TestControllerAgent_Origin_Team0_Agent0,0,2,8,19,1,0,13.7469
Win,21,TestControllerAgent_Origin_Team0_Agent1,0,0,0,27,1,0,13.7469
Loss,21,TestTotalAgent_Origin_Team1_Agent0,1,0,1,11,4,1,13.7469
Loss,21,TestTotalAgent_Origin_Team1_Agent1,1,0,1,26,4,1,13.7469
Win,22,TestControllerAgent_Origin_Team0_Agent0,0,2,7,18,3,0,12.72179
Win,22,TestControllerAgent_Origin_Team0_Agent1,0,0,1,24,1,0,12.72179
Loss,22,TestTotalAgent_Origin_Team1_Agent0,1,0,2,15,4,1,12.72179
Loss,22,TestTotalAgent_Origin_Team1_Agent1,1,0,2,23,4,1,12.72179
Win,23,TestControllerAgent_Origin_Team0_Agent0,0,1,4,19,4,1,12.70435
Win,23,TestControllerAgent_Origin_Team0_Agent1,0,1,4,22,2,0,12.70435
Loss,23,TestTotalAgent_Origin_Team1_Agent0,1,0,0,5,4,1,12.70435
Loss,23,TestTotalAgent_Origin_Team1_Agent1,1,1,6,19,4,1,12.70435
Win,24,TestControllerAgent_Origin_Team0_Agent0,0,0,3,12,0,0,7.449647
Win,24,TestControllerAgent_Origin_Team0_Agent1,0,2,5,10,0,0,7.449647
Loss,24,TestTotalAgent_Origin_Team1_Agent0,1,0,0,10,4,1,7.449647
Loss,24,TestTotalAgent_Origin_Team1_Agent1,1,0,0,15,4,1,7.449647
Win,25,TestControllerAgent_Origin_Team0_Agent0,0,0,1,20,4,1,25.65634
Win,25,TestControllerAgent_Origin_Team0_Agent1,0,2,7,44,3,0,25.65634
Loss,25,TestTotalAgent_Origin_Team1_Agent0,1,0,2,47,4,1,25.65634
Loss,25,TestTotalAgent_Origin_Team1_Agent1,1,1,5,38,4,1,25.65634
Loss,26,TestControllerAgent_Origin_Team0_Agent0,0,0,0,27,4,1,13.19946
Loss,26,TestControllerAgent_Origin_Team0_Agent1,0,0,1,13,4,1,13.19946
Win,26,TestTotalAgent_Origin_Team1_Agent0,1,1,3,23,1,0,13.19946
Win,26,TestTotalAgent_Origin_Team1_Agent1,1,1,5,21,0,0,13.19946
Win,27,TestControllerAgent_Origin_Team0_Agent0,0,1,4,29,2,0,16.76265
Win,27,TestControllerAgent_Origin_Team0_Agent1,0,1,4,29,3,0,16.76265
Loss,27,TestTotalAgent_Origin_Team1_Agent0,1,0,2,8,4,1,16.76265
Loss,27,TestTotalAgent_Origin_Team1_Agent1,1,0,3,30,4,1,16.76265
Win,28,TestControllerAgent_Origin_Team0_Agent0,0,0,1,26,0,0,13.80108
Win,28,TestControllerAgent_Origin_Team0_Agent1,0,2,7,21,3,0,13.80108
Loss,28,TestTotalAgent_Origin_Team1_Agent0,1,0,1,27,4,1,13.80108
