Outcome,Episode,Agent Name,Team ID,Kill Count,Attack Count,Miss Count,Hit Count,Death Count,Episode Play Time
Win,1,TestControllerAgent_MissReward_Team0_Agent0,0,1,3,57,3,0,31.54517
Win,1,TestControllerAgent_MissReward_Team0_Agent1,0,1,5,55,0,0,31.54517
Loss,1,TestTotalAgent_MissReward_Team1_Agent0,1,0,1,19,4,1,31.54517
Loss,1,TestTotalAgent_MissReward_Team1_Agent1,1,0,2,49,4,1,31.54517
Win,2,TestControllerAgent_MissReward_Team0_Agent0,0,0,4,34,1,0,21.21512
Win,2,TestControllerAgent_MissReward_Team0_Agent1,0,2,4,35,1,0,21.21512
Loss,2,TestTotalAgent_MissReward_Team1_Agent0,1,0,2,28,4,1,21.21512
Loss,2,TestTotalAgent_MissReward_Team1_Agent1,1,0,0,3,4,1,21.21512
Win,3,TestControllerAgent_MissReward_Team0_Agent0,0,1,3,97,2,0,55.37075
Win,3,TestControllerAgent_MissReward_Team0_Agent1,0,1,5,89,0,0,55.37075
Loss,3,TestTotalAgent_MissReward_Team1_Agent0,1,0,0,11,4,1,55.37075
Loss,3,TestTotalAgent_MissReward_Team1_Agent1,1,0,2,97,4,1,55.37075
Win,4,TestControllerAgent_MissReward_Team0_Agent0,0,1,3,24,1,0,14.09129
Win,4,TestControllerAgent_MissReward_Team0_Agent1,0,1,5,21,0,0,14.09129
Loss,4,TestTotalAgent_MissReward_Team1_Agent0,1,0,1,23,4,1,14.09129
Loss,4,TestTotalAgent_MissReward_Team1_Agent1,1,0,0,3,4,1,14.09129
Win,5,TestControllerAgent_MissReward_Team0_Agent0,0,0,4,106,1,0,60.1979
Win,5,TestControllerAgent_MissReward_Team0_Agent1,0,2,4,103,3,0,60.1979
Loss,5,TestTotalAgent_MissReward_Team1_Agent0,1,0,1,58,4,1,60.1979
Loss,5,TestTotalAgent_MissReward_Team1_Agent1,1,0,3,98,4,1,60.1979
Win,6,TestControllerAgent_MissReward_Team0_Agent0,0,2,3,73,0,0,39.95866
Win,6,TestControllerAgent_MissReward_Team0_Agent1,0,0,5,71,1,0,39.95866
Loss,6,TestTotalAgent_MissReward_Team1_Agent0,1,0,0,65,4,1,39.95866
Loss,6,TestTotalAgent_MissReward_Team1_Agent1,1,0,1,63,4,1,39.95866
Win,7,TestControllerAgent_MissReward_Team0_Agent0,0,0,2,32,0,0,18.62282
Win,7,TestControllerAgent_MissReward_Team0_Agent1,0,2,6,28,1,0,18.62282
Loss,7,TestTotalAgent_MissReward_Team1_Agent0,1,0,1,24,4,1,18.62282
Loss,7,TestTotalAgent_MissReward_Team1_Agent1,1,0,0,28,4,1,18.62282
Win,8,TestControllerAgent_MissReward_Team0_Agent0,0,2,8,20,1,0,14.39103
Win,8,TestControllerAgent_MissReward_Team0_Agent1,0,0,0,28,0,0,14.39103
Loss,8,TestTotalAgent_MissReward_Team1_Agent0,1,0,1,24,4,1,14.39103
Loss,8,TestTotalAgent_MissReward_Team1_Agent1,1,0,0,4,4,1,14.39103
Win,9,TestControllerAgent_MissReward_Team0_Agent0,0,1,2,20,0,0,11.30132
Win,9,TestControllerAgent_MissReward_Team0_Agent1,0,1,6,16,0,0,11.30132
Loss,9,TestTotalAgent_MissReward_Team1_Agent0,1,0,0,21,4,1,11.30132
Loss,9,TestTotalAgent_MissReward_Team1_Agent1,1,0,0,5,4,1,11.30132
Win,10,TestControllerAgent_MissReward_Team0_Agent0,0,1,4,62,1,0,36.41663
Win,10,TestControllerAgent_MissReward_Team0_Agent1,0,1,4,62,0,0,36.41663
Loss,10,TestTotalAgent_MissReward_Team1_Agent0,1,0,0,1,4,1,36.41663
Loss,10,TestTotalAgent_MissReward_Team1_Agent1,1,0,1,64,4,1,36.41663
Draw,11,TestControllerAgent_MissReward_Team0_Agent0,0,1,5,145,0,0,100.0458
Draw,11,TestControllerAgent_MissReward_Team0_Agent1,0,0,2,148,1,0,100.0458
Draw,11,TestTotalAgent_MissReward_Team1_Agent0,1,0,1,149,3,0,100.0458
Draw,11,TestTotalAgent_MissReward_Team1_Agent1,1,0,0,40,4,1,100.0458
Win,12,TestControllerAgent_MissReward_Team0_Agent0,0,0,3,86,0,0,50.3316
Win,12,TestControllerAgent_MissReward_Team0_Agent1,0,2,5,81,1,0,50.3316
Loss,12,TestTotalAgent_MissReward_Team1_Agent0,1,0,1,93,4,1,50.3316
Loss,12,TestTotalAgent_MissReward_Team1_Agent1,1,0,0,39,4,1,50.3316
Draw,13,TestControllerAgent_MissReward_Team0_Agent0,0,0,1,149,0,0,100.0716
