Outcome,Episode,Agent Name,Team ID,Kill Count,Attack Count,Miss Count,Hit Count,Death Count,Episode Play Time
Win,1,TestControllerAgent_MissReward_Team0_Agent0,0,2,8,14,0,0,11.86134
Win,1,TestControllerAgent_MissReward_Team0_Agent1,0,0,0,24,0,0,11.86134
Loss,1,TestTotalAgent_Origin_Team1_Agent0,1,0,0,22,4,1,11.86134
Loss,1,TestTotalAgent_Origin_Team1_Agent1,1,0,0,24,4,1,11.86134
Win,2,TestControllerAgent_MissReward_Team0_Agent0,0,1,6,18,2,0,12.52666
Win,2,TestControllerAgent_MissReward_Team0_Agent1,0,1,2,23,2,0,12.52666
Loss,2,TestTotalAgent_Origin_Team1_Agent0,1,0,0,19,4,1,12.52666
Loss,2,TestTotalAgent_Origin_Team1_Agent1,1,0,4,21,4,1,12.52666
Win,3,TestControllerAgent_MissReward_Team0_Agent0,0,0,0,5,4,1,14.20488
Win,3,TestControllerAgent_MissReward_Team0_Agent1,0,2,8,19,1,0,14.20488
Loss,3,TestTotalAgent_Origin_Team1_Agent0,1,1,2,20,4,1,14.20488
Loss,3,TestTotalAgent_Origin_Team1_Agent1,1,0,3,24,4,1,14.20488
Win,4,TestControllerAgent_MissReward_Team0_Agent0,0,1,5,63,2,0,36.77216
Win,4,TestControllerAgent_MissReward_Team0_Agent1,0,1,3,68,3,0,36.77216
Loss,4,TestTotalAgent_Origin_Team1_Agent0,1,0,5,67,4,1,36.77216
Loss,4,TestTotalAgent_Origin_Team1_Agent1,1,0,0,13,4,1,36.77216
Win,5,TestControllerAgent_MissReward_Team0_Agent0,0,0,2,19,0,0,10.36602
Win,5,TestControllerAgent_MissReward_Team0_Agent1,0,2,6,15,0,0,10.36602
Loss,5,TestTotalAgent_Origin_Team1_Agent0,1,0,0,21,4,1,10.36602
Loss,5,TestTotalAgent_Origin_Team1_Agent1,1,0,0,17,4,1,10.36602
Win,6,TestControllerAgent_MissReward_Team0_Agent0,0,1,6,34,1,0,20.65384
Win,6,TestControllerAgent_MissReward_Team0_Agent1,0,1,2,39,1,0,20.65384
Loss,6,TestTotalAgent_Origin_Team1_Agent0,1,0,0,12,4,1,20.65384
Loss,6,TestTotalAgent_Origin_Team1_Agent1,1,0,2,38,4,1,20.65384
Win,7,TestControllerAgent_MissReward_Team0_Agent0,0,0,2,29,1,0,16.89642
Win,7,TestControllerAgent_MissReward_Team0_Agent1,0,2,6,26,2,0,16.89642
Loss,7,TestTotalAgent_Origin_Team1_Agent0,1,0,2,15,4,1,16.89642
Loss,7,TestTotalAgent_Origin_Team1_Agent1,1,0,1,32,4,1,16.89642
Win,8,TestControllerAgent_MissReward_Team0_Agent0,0,2,8,12,1,0,9.818752
Win,8,TestControllerAgent_MissReward_Team0_Agent1,0,0,0,20,1,0,9.818752
Loss,8,TestTotalAgent_Origin_Team1_Agent0,1,0,0,16,4,1,9.818752
