Outcome,Episode,Agent Name,Team ID,Kill Count,Attack Count,Miss Count,Hit Count,Death Count,Episode Play Time
Win,0,TestControllerAgent_Origin_Team0_Agent0,0,1,4,29,3,0,15.01315
Loss,0,TestTotalAgent_Origin_Team1_Agent0,1,0,3,28,4,1,15.01315
Win,1,TestControllerAgent_Origin_Team0_Agent0,0,1,4,9,0,0,4.637791
Loss,1,TestTotalAgent_Origin_Team1_Agent0,1,0,0,11,4,1,4.637791
Win,2,TestControllerAgent_Origin_Team0_Agent0,0,1,4,45,2,0,22.8816
Loss,2,TestTotalAgent_Origin_Team1_Agent0,1,0,2,45,4,1,22.8816
Win,3,TestControllerAgent_Origin_Team0_Agent0,0,1,4,37,2,0,18.66665
Loss,3,TestTotalAgent_Origin_Team1_Agent0,1,0,2,38,4,1,18.66665
Win,4,TestControllerAgent_Origin_Team0_Agent0,0,1,4,28,0,0,13.90518
Loss,4,TestTotalAgent_Origin_Team1_Agent0,1,0,0,31,4,1,13.90518
Win,5,TestControllerAgent_Origin_Team0_Agent0,0,1,4,23,0,0,11.37785
Loss,5,TestTotalAgent_Origin_Team1_Agent0,1,0,0,25,4,1,11.37785
Win,6,TestControllerAgent_Origin_Team0_Agent0,0,1,4,31,0,0,16.33332
Loss,6,TestTotalAgent_Origin_Team1_Agent0,1,0,0,32,4,1,16.33332
Win,7,TestControllerAgent_Origin_Team0_Agent0,0,1,4,17,0,0,8.564735
Loss,7,TestTotalAgent_Origin_Team1_Agent0,1,0,0,20,4,1,8.564735
Loss,8,TestControllerAgent_Origin_Team0_Agent0,0,0,0,72,4,1,36.51794
Win,8,TestTotalAgent_Origin_Team1_Agent0,1,1,4,68,0,0,36.51794
Win,9,TestControllerAgent_Origin_Team0_Agent0,0,1,4,53,1,0,29.08674
Loss,9,TestTotalAgent_Origin_Team1_Agent0,1,0,1,56,4,1,29.08674
Win,10,TestControllerAgent_Origin_Team0_Agent0,0,1,4,26,2,0,14.60664
Loss,10,TestTotalAgent_Origin_Team1_Agent0,1,0,2,27,4,1,14.60664
Win,11,TestControllerAgent_Origin_Team0_Agent0,0,1,4,7,1,0,5.050245
Loss,11,TestTotalAgent_Origin_Team1_Agent0,1,0,1,9,4,1,5.050245
Loss,12,TestControllerAgent_Origin_Team0_Agent0,0,0,0,14,4,1,6.55667
Win,12,TestTotalAgent_Origin_Team1_Agent0,1,1,4,10,0,0,6.55667
Win,13,TestControllerAgent_Origin_Team0_Agent0,0,1,4,32,1,0,17.94709
Loss,13,TestTotalAgent_Origin_Team1_Agent0,1,0,1,34,4,1,17.94709
Loss,14,TestControllerAgent_Origin_Team0_Agent0,0,0,0,32,4,1,15.86122
Win,14,TestTotalAgent_Origin_Team1_Agent0,1,1,4,28,0,0,15.86122
Win,15,TestControllerAgent_Origin_Team0_Agent0,0,1,4,19,3,0,11.62652
Loss,15,TestTotalAgent_Origin_Team1_Agent0,1,0,3,19,4,1,11.62652
Loss,16,TestControllerAgent_Origin_Team0_Agent0,0,0,0,22,4,1,10.71461
Win,16,TestTotalAgent_Origin_Team1_Agent0,1,1,4,18,0,0,10.71461
Win,17,TestControllerAgent_Origin_Team0_Agent0,0,1,4,22,1,0,12.93117
Loss,17,TestTotalAgent_Origin_Team1_Agent0,1,0,1,25,4,1,12.93117
Win,18,TestControllerAgent_Origin_Team0_Agent0,0,1,4,33,1,0,18.33422
Loss,18,TestTotalAgent_Origin_Team1_Agent0,1,0,1,35,4,1,18.33422
Win,19,TestControllerAgent_Origin_Team0_Agent0,0,1,4,52,2,0,28.22998
Loss,19,TestTotalAgent_Origin_Team1_Agent0,1,0,2,54,4,1,28.22998
Win,20,TestControllerAgent_Origin_Team0_Agent0,0,1,4,20,2,0,10.96174
Loss,20,TestTotalAgent_Origin_Team1_Agent0,1,0,2,21,4,1,10.96174
Win,21,TestControllerAgent_Origin_Team0_Agent0,0,1,4,31,2,0,17.38733
Loss,21,TestTotalAgent_Origin_Team1_Agent0,1,0,2,32,4,1,17.38733
Win,22,TestControllerAgent_Origin_Team0_Agent0,0,1,4,19,3,0,11.64499
Loss,22,TestTotalAgent_Origin_Team1_Agent0,1,0,3,20,4,1,11.64499
Win,23,TestControllerAgent_Origin_Team0_Agent0,0,1,4,33,1,0,18.95867
Loss,23,TestTotalAgent_Origin_Team1_Agent0,1,0,1,36,4,1,18.95867
Win,24,TestControllerAgent_Origin_Team0_Agent0,0,1,4,23,1,0,14.40678
Loss,24,TestTotalAgent_Origin_Team1_Agent0,1,0,1,28,4,1,14.40678
Win,25,TestControllerAgent_Origin_Team0_Agent0,0,1,4,11,0,0,7.080921
Loss,25,TestTotalAgent_Origin_Team1_Agent0,1,0,0,14,4,1,7.080921
Loss,26,TestControllerAgent_Origin_Team0_Agent0,0,0,1,22,4,1,11.45259
Win,26,TestTotalAgent_Origin_Team1_Agent0,1,1,4,19,1,0,11.45259
Win,27,TestControllerAgent_Origin_Team0_Agent0,0,1,4,12,2,0,7.802341
Loss,27,TestTotalAgent_Origin_Team1_Agent0,1,0,2,14,4,1,7.802341
Loss,28,TestControllerAgent_Origin_Team0_Agent0,0,0,1,16,4,1,8.232764
Win,28,TestTotalAgent_Origin_Team1_Agent0,1,1,4,13,1,0,8.232764
Loss,29,TestControllerAgent_Origin_Team0_Agent0,0,0,2,42,4,1,22.4216
Win,29,TestTotalAgent_Origin_Team1_Agent0,1,1,4,41,2,0,22.4216
Win,30,TestControllerAgent_Origin_Team0_Agent0,0,1,4,47,0,0,25.49991
Loss,30,TestTotalAgent_Origin_Team1_Agent0,1,0,0,50,4,1,25.49991
Win,31,TestControllerAgent_Origin_Team0_Agent0,0,1,4,14,1,0,8.806987
Loss,31,TestTotalAgent_Origin_Team1_Agent0,1,0,1,17,4,1,8.806987
Win,32,TestControllerAgent_Origin_Team0_Agent0,0,1,4,10,1,0,7.306507
Loss,32,TestTotalAgent_Origin_Team1_Agent0,1,0,1,14,4,1,7.306507
Win,33,TestControllerAgent_Origin_Team0_Agent0,0,1,4,31,2,0,17.3013
Loss,33,TestTotalAgent_Origin_Team1_Agent0,1,0,2,32,4,1,17.3013
Win,34,TestControllerAgent_Origin_Team0_Agent0,0,1,4,34,3,0,19.02395
Loss,34,TestTotalAgent_Origin_Team1_Agent0,1,0,3,34,4,1,19.02395
Win,35,TestControllerAgent_Origin_Team0_Agent0,0,1,4,14,1,0,8.691299
Loss,35,TestTotalAgent_Origin_Team1_Agent0,1,0,1,16,4,1,8.691299
Win,36,TestControllerAgent_Origin_Team0_Agent0,0,1,4,22,3,0,12.71233
Loss,36,TestTotalAgent_Origin_Team1_Agent0,1,0,3,22,4,1,12.71233
Win,37,TestControllerAgent_Origin_Team0_Agent0,0,1,4,14,0,0,8.934442
Loss,37,TestTotalAgent_Origin_Team1_Agent0,1,0,0,18,4,1,8.934442
Win,38,TestControllerAgent_Origin_Team0_Agent0,0,1,4,50,1,0,27.1364
Loss,38,TestTotalAgent_Origin_Team1_Agent0,1,0,1,52,4,1,27.1364
Loss,39,TestControllerAgent_Origin_Team0_Agent0,0,0,1,39,4,1,20.11081
Win,39,TestTotalAgent_Origin_Team1_Agent0,1,1,4,36,1,0,20.11081
Win,40,TestControllerAgent_Origin_Team0_Agent0,0,1,4,17,0,0,10.4211
Loss,40,TestTotalAgent_Origin_Team1_Agent0,1,0,0,21,4,1,10.4211
Win,41,TestControllerAgent_Origin_Team0_Agent0,0,1,4,23,1,0,13.98708
Loss,41,TestTotalAgent_Origin_Team1_Agent0,1,0,1,27,4,1,13.98708
Win,42,TestControllerAgent_Origin_Team0_Agent0,0,1,4,20,0,0,12.74294
