Outcome,Episode,Agent Name,Team ID,Kill Count,Attack Count,Miss Count,Hit Count,Death Count,Episode Play Time
Win,1,TestControllerAgent_MissReward_Team0_Agent0,0,1,4,18,1,0,11.65007
Loss,1,TestTotalAgent_Origin_Team1_Agent0,1,0,1,22,4,1,11.65007
Win,2,TestControllerAgent_MissReward_Team0_Agent0,0,1,4,26,3,0,16.08525
Loss,2,TestTotalAgent_Origin_Team1_Agent0,1,0,3,29,4,1,16.08525
Win,3,TestControllerAgent_MissReward_Team0_Agent0,0,1,4,27,1,0,16.42376
Loss,3,TestTotalAgent_Origin_Team1_Agent0,1,0,1,31,4,1,16.42376
Win,4,TestControllerAgent_MissReward_Team0_Agent0,0,1,4,45,2,0,26.12242
Loss,4,TestTotalAgent_Origin_Team1_Agent0,1,0,2,49,4,1,26.12242
Win,5,TestControllerAgent_MissReward_Team0_Agent0,0,1,4,13,2,0,8.922151
Loss,5,TestTotalAgent_Origin_Team1_Agent0,1,0,2,16,4,1,8.922151
Win,6,TestControllerAgent_MissReward_Team0_Agent0,0,1,4,24,1,0,14.80106
Loss,6,TestTotalAgent_Origin_Team1_Agent0,1,0,1,28,4,1,14.80106
Win,7,TestControllerAgent_MissReward_Team0_Agent0,0,1,4,12,1,0,7.594058
Loss,7,TestTotalAgent_Origin_Team1_Agent0,1,0,1,14,4,1,7.594058
Win,8,TestControllerAgent_MissReward_Team0_Agent0,0,1,4,17,1,0,11.20032
Loss,8,TestTotalAgent_Origin_Team1_Agent0,1,0,1,21,4,1,11.20032
Win,9,TestControllerAgent_MissReward_Team0_Agent0,0,1,4,35,2,0,20.1452
Loss,9,TestTotalAgent_Origin_Team1_Agent0,1,0,2,37,4,1,20.1452
Win,10,TestControllerAgent_MissReward_Team0_Agent0,0,1,4,76,3,0,42.4141
Loss,10,TestTotalAgent_Origin_Team1_Agent0,1,0,3,80,4,1,42.4141
Win,11,TestControllerAgent_MissReward_Team0_Agent0,0,1,4,12,1,0,8.064544
Loss,11,TestTotalAgent_Origin_Team1_Agent0,1,0,1,15,4,1,8.064544
Win,12,TestControllerAgent_MissReward_Team0_Agent0,0,1,4,61,2,0,34.43864
Loss,12,TestTotalAgent_Origin_Team1_Agent0,1,0,2,65,4,1,34.43864
Win,13,TestControllerAgent_MissReward_Team0_Agent0,0,1,4,34,3,0,19.633
Loss,13,TestTotalAgent_Origin_Team1_Agent0,1,0,3,35,4,1,19.633
Win,14,TestControllerAgent_MissReward_Team0_Agent0,0,1,4,20,1,0,12.90242
Loss,14,TestTotalAgent_Origin_Team1_Agent0,1,0,1,24,4,1,12.90242
Win,15,TestControllerAgent_MissReward_Team0_Agent0,0,1,4,13,3,0,8.328768
Loss,15,TestTotalAgent_Origin_Team1_Agent0,1,0,3,13,4,1,8.328768
Loss,16,TestControllerAgent_MissReward_Team0_Agent0,0,0,3,23,4,1,13.09632
Win,16,TestTotalAgent_Origin_Team1_Agent0,1,1,4,22,3,0,13.09632
Win,17,TestControllerAgent_MissReward_Team0_Agent0,0,1,4,28,2,0,17.4276
Loss,17,TestTotalAgent_Origin_Team1_Agent0,1,0,2,32,4,1,17.4276
Win,18,TestControllerAgent_MissReward_Team0_Agent0,0,1,4,47,1,0,25.96512
Loss,18,TestTotalAgent_Origin_Team1_Agent0,1,0,1,49,4,1,25.96512
Win,19,TestControllerAgent_MissReward_Team0_Agent0,0,1,4,63,3,0,35.57898
Loss,19,TestTotalAgent_Origin_Team1_Agent0,1,0,3,67,4,1,35.57898
Win,20,TestControllerAgent_MissReward_Team0_Agent0,0,1,4,32,3,0,20.5437
Loss,20,TestTotalAgent_Origin_Team1_Agent0,1,0,3,37,4,1,20.5437
Win,21,TestControllerAgent_MissReward_Team0_Agent0,0,1,4,23,2,0,13.51422
Loss,21,TestTotalAgent_Origin_Team1_Agent0,1,0,2,25,4,1,13.51422
Win,22,TestControllerAgent_MissReward_Team0_Agent0,0,1,4,50,2,0,28.10827
Loss,22,TestTotalAgent_Origin_Team1_Agent0,1,0,2,53,4,1,28.10827
Win,23,TestControllerAgent_MissReward_Team0_Agent0,0,1,4,37,1,0,21.70759
Loss,23,TestTotalAgent_Origin_Team1_Agent0,1,0,1,42,4,1,21.70759
Win,24,TestControllerAgent_MissReward_Team0_Agent0,0,1,4,55,2,0,31.46495
Loss,24,TestTotalAgent_Origin_Team1_Agent0,1,0,2,59,4,1,31.46495
Win,25,TestControllerAgent_MissReward_Team0_Agent0,0,1,4,6,0,0,4.640043
Loss,25,TestTotalAgent_Origin_Team1_Agent0,1,0,0,10,4,1,4.640043
Win,26,TestControllerAgent_MissReward_Team0_Agent0,0,1,4,26,1,0,15.734
Loss,26,TestTotalAgent_Origin_Team1_Agent0,1,0,1,30,4,1,15.734
Win,27,TestControllerAgent_MissReward_Team0_Agent0,0,1,4,15,2,0,10.22789
Loss,27,TestTotalAgent_Origin_Team1_Agent0,1,0,2,18,4,1,10.22789
Win,28,TestControllerAgent_MissReward_Team0_Agent0,0,1,4,10,2,0,7.035815
Loss,28,TestTotalAgent_Origin_Team1_Agent0,1,0,2,12,4,1,7.035815
Win,29,TestControllerAgent_MissReward_Team0_Agent0,0,1,4,23,2,0,14.274
Loss,29,TestTotalAgent_Origin_Team1_Agent0,1,0,2,26,4,1,14.274
Win,30,TestControllerAgent_MissReward_Team0_Agent0,0,1,4,19,2,0,11.67611
