Outcome,Episode,Agent Name,Team ID,Kill Count,Attack Count,Miss Count,Hit Count,Death Count,Episode Play Time
Win,1,TestControllerAgent_Origin_Team0_Agent0,0,1,6,25,2,0,15.68504
Win,1,TestControllerAgent_Origin_Team0_Agent1,0,1,2,27,0,0,15.68504
Loss,1,TestTotalAgent_MissReward_Team1_Agent0,1,0,2,9,4,1,15.68504
Loss,1,TestTotalAgent_MissReward_Team1_Agent1,1,0,0,26,4,1,15.68504
Win,2,TestControllerAgent_Origin_Team0_Agent0,0,2,4,63,0,0,33.35465
Win,2,TestControllerAgent_Origin_Team0_Agent1,0,0,4,62,2,0,33.35465
Loss,2,TestTotalAgent_MissReward_Team1_Agent0,1,0,1,17,4,1,33.35465
Loss,2,TestTotalAgent_MissReward_Team1_Agent1,1,0,1,52,4,1,33.35465
Win,3,TestControllerAgent_Origin_Team0_Agent0,0,0,6,44,4,1,25.12216
Win,3,TestControllerAgent_Origin_Team0_Agent1,0,2,2,49,0,0,25.12216
Loss,3,TestTotalAgent_MissReward_Team1_Agent0,1,1,4,33,4,1,25.12216
Loss,3,TestTotalAgent_MissReward_Team1_Agent1,1,0,0,2,4,1,25.12216
Win,4,TestControllerAgent_Origin_Team0_Agent0,0,1,6,13,0,0,9.320418
Win,4,TestControllerAgent_Origin_Team0_Agent1,0,1,2,15,0,0,9.320418
Loss,4,TestTotalAgent_MissReward_Team1_Agent0,1,0,0,10,4,1,9.320418
Loss,4,TestTotalAgent_MissReward_Team1_Agent1,1,0,0,5,4,1,9.320418
Win,5,TestControllerAgent_Origin_Team0_Agent0,0,0,0,32,1,0,17.29792
Win,5,TestControllerAgent_Origin_Team0_Agent1,0,2,8,26,0,0,17.29792
Loss,5,TestTotalAgent_MissReward_Team1_Agent0,1,0,1,7,4,1,17.29792
Loss,5,TestTotalAgent_MissReward_Team1_Agent1,1,0,0,27,4,1,17.29792
Win,6,TestControllerAgent_Origin_Team0_Agent0,0,0,5,30,1,0,17.03501
Win,6,TestControllerAgent_Origin_Team0_Agent1,0,2,3,32,1,0,17.03501
Loss,6,TestTotalAgent_MissReward_Team1_Agent0,1,0,2,30,4,1,17.03501
Loss,6,TestTotalAgent_MissReward_Team1_Agent1,1,0,0,21,4,1,17.03501
Win,7,TestControllerAgent_Origin_Team0_Agent0,0,1,4,42,1,0,22.72498
Win,7,TestControllerAgent_Origin_Team0_Agent1,0,1,4,40,0,0,22.72498
Loss,7,TestTotalAgent_MissReward_Team1_Agent0,1,0,1,30,4,1,22.72498
Loss,7,TestTotalAgent_MissReward_Team1_Agent1,1,0,0,28,4,1,22.72498
Win,8,TestControllerAgent_Origin_Team0_Agent0,0,1,6,42,0,0,23.69756
Win,8,TestControllerAgent_Origin_Team0_Agent1,0,1,2,44,1,0,23.69756
Loss,8,TestTotalAgent_MissReward_Team1_Agent0,1,0,0,45,4,1,23.69756
Loss,8,TestTotalAgent_MissReward_Team1_Agent1,1,0,1,9,4,1,23.69756
Win,9,TestControllerAgent_Origin_Team0_Agent0,0,2,6,52,0,0,28.52226
Win,9,TestControllerAgent_Origin_Team0_Agent1,0,0,2,54,2,0,28.52226
Loss,9,TestTotalAgent_MissReward_Team1_Agent0,1,0,2,45,4,1,28.52226
Loss,9,TestTotalAgent_MissReward_Team1_Agent1,1,0,0,6,4,1,28.52226
Win,10,TestControllerAgent_Origin_Team0_Agent0,0,1,5,97,0,0,51.18179
