Outcome,Episode,Agent Name,Team ID,Kill Count,Attack Count,Miss Count,Hit Count,Death Count,Episode Play Time
Win,0,TestControllerAgent_Origin_Team0_Agent0,0,0,0,30,4,1,36.13589
Win,0,TestControllerAgent_Origin_Team0_Agent1,0,2,8,64,3,0,36.13589
Loss,0,TestTotalAgent_Origin_Team1_Agent0,1,0,4,66,4,1,36.13589
Loss,0,TestTotalAgent_Origin_Team1_Agent1,1,1,3,38,4,1,36.13589
Win,1,TestControllerAgent_Origin_Team0_Agent0,0,0,1,18,0,0,10.08399
Win,1,TestControllerAgent_Origin_Team0_Agent1,0,2,7,14,2,0,10.08399
Loss,1,TestTotalAgent_Origin_Team1_Agent0,1,0,2,18,4,1,10.08399
Loss,1,TestTotalAgent_Origin_Team1_Agent1,1,0,0,9,4,1,10.08399
Win,2,TestControllerAgent_Origin_Team0_Agent0,0,0,0,26,2,0,12.51888
Win,2,TestControllerAgent_Origin_Team0_Agent1,0,2,8,18,3,0,12.51888
Loss,2,TestTotalAgent_Origin_Team1_Agent0,1,0,3,20,4,1,12.51888
Loss,2,TestTotalAgent_Origin_Team1_Agent1,1,0,2,23,4,1,12.51888
Win,3,TestControllerAgent_Origin_Team0_Agent0,0,0,2,27,0,0,14.5387
Win,3,TestControllerAgent_Origin_Team0_Agent1,0,2,6,24,2,0,14.5387
Loss,3,TestTotalAgent_Origin_Team1_Agent0,1,0,2,26,4,1,14.5387
Loss,3,TestTotalAgent_Origin_Team1_Agent1,1,0,0,18,4,1,14.5387
Win,4,TestControllerAgent_Origin_Team0_Agent0,0,1,3,30,0,0,16.00304
Win,4,TestControllerAgent_Origin_Team0_Agent1,0,1,5,27,0,0,16.00304
Loss,4,TestTotalAgent_Origin_Team1_Agent0,1,0,0,9,4,1,16.00304
Loss,4,TestTotalAgent_Origin_Team1_Agent1,1,0,0,32,4,1,16.00304
Win,5,TestControllerAgent_Origin_Team0_Agent0,0,0,2,20,2,0,10.43877
Win,5,TestControllerAgent_Origin_Team0_Agent1,0,2,6,16,1,0,10.43877
Loss,5,TestTotalAgent_Origin_Team1_Agent0,1,0,2,19,4,1,10.43877
Loss,5,TestTotalAgent_Origin_Team1_Agent1,1,0,1,16,4,1,10.43877
Win,6,TestControllerAgent_Origin_Team0_Agent0,0,0,2,22,4,1,13.98276
Win,6,TestControllerAgent_Origin_Team0_Agent1,0,2,6,23,3,0,13.98276
Loss,6,TestTotalAgent_Origin_Team1_Agent0,1,0,0,27,4,1,13.98276
Loss,6,TestTotalAgent_Origin_Team1_Agent1,1,1,7,19,4,1,13.98276
Win,7,TestControllerAgent_Origin_Team0_Agent0,0,2,6,22,0,0,13.85628
Win,7,TestControllerAgent_Origin_Team0_Agent1,0,0,2,25,0,0,13.85628
Loss,7,TestTotalAgent_Origin_Team1_Agent0,1,0,0,19,4,1,13.85628
Loss,7,TestTotalAgent_Origin_Team1_Agent1,1,0,0,27,4,1,13.85628
Win,8,TestControllerAgent_Origin_Team0_Agent0,0,1,2,41,0,0,21.61553
Win,8,TestControllerAgent_Origin_Team0_Agent1,0,1,6,37,1,0,21.61553
Loss,8,TestTotalAgent_Origin_Team1_Agent0,1,0,0,42,4,1,21.61553
Loss,8,TestTotalAgent_Origin_Team1_Agent1,1,0,1,13,4,1,21.61553
Win,9,TestControllerAgent_Origin_Team0_Agent0,0,1,3,28,2,0,15.24271
Win,9,TestControllerAgent_Origin_Team0_Agent1,0,1,5,26,2,0,15.24271
Loss,9,TestTotalAgent_Origin_Team1_Agent0,1,0,3,15,4,1,15.24271
Loss,9,TestTotalAgent_Origin_Team1_Agent1,1,0,1,29,4,1,15.24271
Win,10,TestControllerAgent_Origin_Team0_Agent0,0,2,4,35,1,0,19.35092
Win,10,TestControllerAgent_Origin_Team0_Agent1,0,0,4,30,4,1,19.35092
Loss,10,TestTotalAgent_Origin_Team1_Agent0,1,0,2,36,4,1,19.35092
Loss,10,TestTotalAgent_Origin_Team1_Agent1,1,1,3,32,4,1,19.35092
